mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	1/2	3/4	2	1	.g.V7{		g	i		V7		V		7				{	Mm7	1	1	2, 6, 3, 0		2.0	2.0	0	13	0.0	0.0	2.9375	0.0
3	2	0	0	3/4	2	1	i[i		g	i	i	i		i							m	1	1	1, -2, 2		1.0	1.0	1	9	0.1	0.125	2.375	0.05
4	3	0	0	3/4	2	1	iv64		g	i	i	iv64		iv		64					m	1	1	1, 0, -3		0.0	1.0	1	6	0.14285714285714285	0.0625	1.375	0.043478260869565216
4	3	1/2	1/2	3/4	2	1	#viio43		g	i	i	#viio43		#vii	o	43					o7	1	1	0, -3, 6, 3		6.0	0.0	1	4	0.2	0.25	1.0	0.2
5	4	0	0	3/4	2	1	i]		g	i	i	i		i							m	1	1	1, -2, 2		1.0	1.0	0	7	0.0	0.0	2.25	0.0
6	5	0	0	3/4	2	1	V7		g	i		V7		V		7					Mm7	1	1	2, 6, 3, 0		2.0	2.0	0	12	0.0	0.0	2.6875	0.0
7	6	0	0	3/4	2	1	i		g	i		i		i							m	1	1	1, -2, 2		1.0	1.0	2	10	0.16666666666666666	0.125	2.5625	0.046511627906976744
8	7	1/4	1/4	3/4	2	1	V[ii%65/V		g	i	V	ii%65/V		ii	%	65		V			%7	1	1	1, -2, 2, 4		4.0	1.0	0	5	0.0	0.0	1.25	0.0
8	7	1/2	1/2	3/4	2	1	V7(6)/V		g	i	V	V7(6)/V		V		7	6	V			Mm7	1	1	3, 7, 6, 1		3.0	3.0	1	3	0.25	0.25	0.75	0.25
9	8	0	0	3/4	2	1	V]|HC}		g	i	V	V		V					HC	}	M	1	1	2, 6, 3		2.0	2.0	0	10	0.0	0.0	2.25	0.0
10	9	1/4	1/4	3/4	2	1	V7		g	i		V7		V		7					Mm7	1	1	2, 6, 3, 0		2.0	2.0	0	4	0.0	0.0	1.0	0.0
10	9	1/2	1/2	3/4	2	1	V7(6)		g	i		V7(6)		V		7	6				Mm7	1	1	2, 6, -2, 0		2.0	2.0	1	5	0.16666666666666666	0.25	1.1875	0.17391304347826086
10	9	11/16	11/16	3/4	2	1	V7		g	i		V7		V		7					Mm7	1	1	2, 6, 3, 0		2.0	2.0	0	1	0.0	0.0	0.0625	0.0
11	10	0	0	3/4	2	1	i[i		g	i	i	i		i							m	1	1	1, -2, 2		1.0	1.0	1	10	0.09090909090909091	0.125	2.875	0.041666666666666664
12	11	0	0	3/4	2	1	iv64		g	i	i	iv64		iv		64					m	1	1	1, 0, -3		0.0	1.0	1	6	0.14285714285714285	0.0625	1.375	0.043478260869565216
12	11	1/2	1/2	3/4	2	1	#viio43		g	i	i	#viio43		#vii	o	43					o7	1	1	0, -3, 6, 3		6.0	0.0	1	4	0.2	0.25	1.0	0.2
13	12	0	0	3/4	2	1	i]		g	i	i	i		i							m	1	1	1, -2, 2		1.0	1.0	0	7	0.0	0.0	2.25	0.0
14	13	0	0	3/4	2	1	V7		g	i		V7		V		7					Mm7	1	1	2, 6, 3, 0		2.0	2.0	0	12	0.0	0.0	2.6875	0.0
15	14	0	0	3/4	2	1	i		g	i		i		i							m	1	1	1, -2, 2		1.0	1.0	2	10	0.16666666666666666	0.1875	2.5625	0.06818181818181818
16	15	1/4	1/4	3/4	2	1	V[ii%65/V		g	i	V	ii%65/V		ii	%	65		V			%7	1	1	1, -2, 2, 4		4.0	1.0	0	5	0.0	0.0	1.25	0.0
16	15	1/2	1/2	3/4	2	1	V7(6)/V		g	i	V	V7(6)/V		V		7	6	V			Mm7	1	1	3, 7, 6, 1		3.0	3.0	1	3	0.25	0.25	0.75	0.25
17	16	0	0	3/4	2	1	V]|HC}		g	i	V	V		V					HC	}	M	1	1	2, 6, 3		2.0	2.0	0	6	0.0	0.0	1.75	0.0
18	17	0	0	3/4	2	1	III.V{		g	III		V		V						{	M	1	0	-1, 3, 0		-1.0	-1.0	0	2	0.0	0.0	0.5	0.0
18	17	1/4	1/4	3/4	2	1	V7(94)		g	III		V7(94)		V		7	94				Mm7	1	0	-1, -2, 0, -3	1	-1.0	-1.0	1	5	0.16666666666666666	0.08333333333333333	0.9166666666666666	0.08333333333333333
18	17	1/2	1/2	3/4	2	1	V7		g	III		V7		V		7					Mm7	1	0	-1, 3, 0, -3		-1.0	-1.0	0	4	0.0	0.0	1.0	0.0
19	18	0	0	3/4	2	1	V7(94)		g	III		V7(94)		V		7	94				Mm7	1	0	-1, -2, 0, -3	1	-1.0	-1.0	1	5	0.16666666666666666	0.08333333333333333	0.9166666666666666	0.08333333333333333
19	18	1/4	1/4	3/4	2	1	V7		g	III		V7		V		7					Mm7	1	0	-1, 3, 0, -3		-1.0	-1.0	0	4	0.0	0.0	1.0	0.0
19	18	1/2	1/2	3/4	2	1	V7(9)		g	III		V7(9)		V		7	9				Mm7	1	0	-1, 3, 0, -3	1	-1.0	-1.0	0	1	0.0	0.0	0.25	0.0
20	19	0	0	3/4	2	1	V7		g	III		V7		V		7					Mm7	1	0	-1, 3, 0, -3		-1.0	-1.0	2	10	0.16666666666666666	0.4583333333333333	2.0416666666666665	0.18333333333333332
21	20	0	0	3/4	2	1	I(4)}		g	III		I(4)		I			4			}	M	1	0	-2, -3, -1		-2.0	-2.0	0	4	0.0	0.0	0.5	0.0
21	20	1/4	1/4	3/4	2	1	I		g	III		I		I							M	1	0	-2, 2, -1		-2.0	-2.0	0	5	0.0	0.0	1.5	0.0
22	21	0	0	3/4	2	1	V{		g	III		V		V						{	M	1	0	-1, 3, 0		-1.0	-1.0	0	2	0.0	0.0	0.5	0.0
22	21	1/4	1/4	3/4	2	1	V7(94)		g	III		V7(94)		V		7	94				Mm7	1	0	-1, -2, 0, -3	1	-1.0	-1.0	1	4	0.2	0.08333333333333333	0.6666666666666666	0.1111111111111111
22	21	1/2	1/2	3/4	2	1	V7		g	III		V7		V		7					Mm7	1	0	-1, 3, 0, -3		-1.0	-1.0	0	4	0.0	0.0	1.0	0.0
23	22	0	0	3/4	2	1	V7(94)		g	III		V7(94)		V		7	94				Mm7	1	0	-1, -2, 0, -3	1	-1.0	-1.0	1	5	0.16666666666666666	0.08333333333333333	0.9166666666666666	0.08333333333333333
23	22	1/4	1/4	3/4	2	1	V7		g	III		V7		V		7					Mm7	1	0	-1, 3, 0, -3		-1.0	-1.0	0	4	0.0	0.0	1.0	0.0
23	22	1/2	1/2	3/4	2	1	V7(9)		g	III		V7(9)		V		7	9				Mm7	1	0	-1, 3, 0, -3	1	-1.0	-1.0	0	4	0.0	0.0	1.0	0.0
24	23	0	0	3/4	2	1	V(6)		g	III		V(6)		V			6				M	1	0	-1, 3, 2		-1.0	-1.0	1	5	0.16666666666666666	0.08333333333333333	0.9166666666666666	0.08333333333333333
24	23	1/4	1/4	3/4	2	1	VM7(b6)		g	III		VM7(b6)		V	M	7	b6				MM7	1	0	-1, 3, -5, 4		-1.0	-1.0	1	3	0.25	0.375	0.75	0.3333333333333333
24	23	1/2	1/2	3/4	2	1	V7		g	III		V7		V		7					Mm7	1	0	-1, 3, 0, -3		-1.0	-1.0	0	4	0.0	0.0	0.875	0.0
25	24	0	0	3/4	2	1	I(9)}		g	III		I(9)		I			9			}	M	1	0	-2, 2, -1	0	-2.0	-2.0	0	4	0.0	0.0	0.5	0.0
25	24	1/4	1/4	3/4	2	1	I|PAC		g	III		I		I					PAC		M	1	0	-2, 2, -1		-2.0	-2.0	2	7	0.2222222222222222	0.25	1.75	0.125
26	25	0	0	3/4	2	1	V{		g	III		V		V						{	M	1	0	-1, 3, 0		-1.0	-1.0	0	2	0.0	0.0	0.5	0.0
26	25	1/4	1/4	3/4	2	1	V7(94)		g	III		V7(94)		V		7	94				Mm7	1	0	-1, -2, 0, -3	1	-1.0	-1.0	1	5	0.16666666666666666	0.08333333333333333	0.9166666666666666	0.08333333333333333
26	25	1/2	1/2	3/4	2	1	V7		g	III		V7		V		7					Mm7	1	0	-1, 3, 0, -3		-1.0	-1.0	0	4	0.0	0.0	1.0	0.0
27	26	0	0	3/4	2	1	V7(94)		g	III		V7(94)		V		7	94				Mm7	1	0	-1, -2, 0, -3	1	-1.0	-1.0	1	5	0.16666666666666666	0.08333333333333333	0.9166666666666666	0.08333333333333333
27	26	1/4	1/4	3/4	2	1	V7		g	III		V7		V		7					Mm7	1	0	-1, 3, 0, -3		-1.0	-1.0	0	4	0.0	0.0	1.0	0.0
27	26	1/2	1/2	3/4	2	1	V7(9)		g	III		V7(9)		V		7	9				Mm7	1	0	-1, 3, 0, -3	1	-1.0	-1.0	0	4	0.0	0.0	1.0	0.0
28	27	0	0	3/4	2	1	V7		g	III		V7		V		7					Mm7	1	0	-1, 3, 0, -3		-1.0	-1.0	2	10	0.16666666666666666	0.4583333333333333	2.0416666666666665	0.18333333333333332
29	28	0	0	3/4	2	1	I(4)}		g	III		I(4)		I			4			}	M	1	0	-2, -3, -1		-2.0	-2.0	0	4	0.0	0.0	0.5	0.0
29	28	1/4	1/4	3/4	2	1	I		g	III		I		I							M	1	0	-2, 2, -1		-2.0	-2.0	0	5	0.0	0.0	1.5	0.0
30	29	0	0	3/4	2	1	V{		g	III		V		V						{	M	1	0	-1, 3, 0		-1.0	-1.0	0	2	0.0	0.0	0.5	0.0
30	29	1/4	1/4	3/4	2	1	V7(94)		g	III		V7(94)		V		7	94				Mm7	1	0	-1, -2, 0, -3	1	-1.0	-1.0	1	5	0.16666666666666666	0.08333333333333333	0.9166666666666666	0.08333333333333333
30	29	1/2	1/2	3/4	2	1	V7		g	III		V7		V		7					Mm7	1	0	-1, 3, 0, -3		-1.0	-1.0	0	4	0.0	0.0	1.0	0.0
31	30	0	0	3/4	2	1	V7(94)		g	III		V7(94)		V		7	94				Mm7	1	0	-1, -2, 0, -3	1	-1.0	-1.0	1	5	0.16666666666666666	0.08333333333333333	0.9166666666666666	0.08333333333333333
31	30	1/4	1/4	3/4	2	1	V7		g	III		V7		V		7					Mm7	1	0	-1, 3, 0, -3		-1.0	-1.0	0	4	0.0	0.0	1.0	0.0
31	30	1/2	1/2	3/4	2	1	V7(9)		g	III		V7(9)		V		7	9				Mm7	1	0	-1, 3, 0, -3	1	-1.0	-1.0	0	4	0.0	0.0	1.0	0.0
32	31	0	0	3/4	2	1	V(6)		g	III		V(6)		V			6				M	1	0	-1, 3, 2		-1.0	-1.0	1	5	0.16666666666666666	0.08333333333333333	0.9166666666666666	0.08333333333333333
32	31	1/4	1/4	3/4	2	1	VM7(b6)		g	III		VM7(b6)		V	M	7	b6				MM7	1	0	-1, 3, -5, 4		-1.0	-1.0	1	3	0.25	0.375	0.75	0.3333333333333333
32	31	1/2	1/2	3/4	2	1	V7		g	III		V7		V		7					Mm7	1	0	-1, 3, 0, -3		-1.0	-1.0	0	4	0.0	0.0	0.875	0.0
33	32	0	0	3/4	2	1	I(9)	1.0	g	III		I(9)		I			9				M	1	0	-2, 2, -1	0	-2.0	-2.0	0	4	0.0	0.0	0.5	0.0
33	32	1/4	1/4	3/4	2	1	i.V6(+#6)	1.0	g	i		V6(+#6)		V		6	+#6				M	1	1	6, 3, 2	5	2.0	6.0	0	3	0.0	0.0	0.875	0.0
33	32	1/2	1/2	3/4	2	1	I	1.0	g	i		I		I							M	1	1	1, 5, 2		1.0	1.0	0	2	0.0	0.0	0.5	0.0
33	32	5/8	5/8	3/4	2	1	i}	1.0	g	i		i		i						}	m	1	1	1, -2, 2		1.0	1.0	0	1	0.0	0.0	0.125	0.0
34	32	0	0	3/4	2	1	I(9)}	2.0	g	III		I(9)		I			9			}	M	1	0	-2, 2, -1	0	-2.0	-2.0	0	4	0.0	0.0	0.5	0.0
34	32	1/4	1/4	3/4	2	1	I	2.0	g	III		I		I							M	1	0	-2, 2, -1		-2.0	-2.0	1	5	0.16666666666666666	0.125	1.375	0.08333333333333333
35	33	0	0	3/4	2	1	VI.V7(9){		g	VI		V7(9)		V		7	9			{	Mm7	1	0	-2, 2, -1, -4	0	-2.0	-2.0	1	14	0.06666666666666667	0.0625	3.0625	0.02
36	34	0	0	3/4	2	1	I(64)		g	VI		I(64)		I			64				M	1	0	-3, -4, 0		-3.0	-3.0	0	3	0.0	0.0	0.5	0.0
36	34	3/16	3/16	3/4	2	1	I		g	VI		I		I							M	1	0	-3, 1, -2		-3.0	-3.0	2	9	0.18181818181818182	0.25	2.125	0.10526315789473684
37	35	0	0	3/4	2	1	V7(9)		g	VI		V7(9)		V		7	9				Mm7	1	0	-2, 2, -1, -4	0	-2.0	-2.0	1	14	0.06666666666666667	0.0625	3.0625	0.02
38	36	0	0	3/4	2	1	I[I(64)		g	VI	I	I(64)		I			64				M	1	0	-3, -4, 0		-3.0	-3.0	0	3	0.0	0.0	0.5	0.0
38	36	3/16	3/16	3/4	2	1	I		g	VI	I	I		I							M	1	0	-3, 1, -2		-3.0	-3.0	0	7	0.0	0.0	1.375	0.0
38	36	1/2	1/2	3/4	2	1	I+		g	VI	I	I+		I	+						+	1	0	-3, 1, 5		-3.0	-3.0	0	5	0.0	0.0	1.25	0.0
39	37	0	0	3/4	2	1	I(964)		g	VI	I	I(964)		I			964				M	1	0	-3, -4, 0	-1	-3.0	-3.0	0	6	0.0	0.0	1.25	0.0
39	37	1/4	1/4	3/4	2	1	I(64)		g	VI	I	I(64)		I			64				M	1	0	-3, -4, 0		-3.0	-3.0	0	5	0.0	0.0	1.25	0.0
39	37	1/2	1/2	3/4	2	1	I		g	VI	I	I		I							M	1	0	-3, 1, -2		-3.0	-3.0	0	5	0.0	0.0	1.25	0.0
40	38	0	0	3/4	2	1	I(964)		g	VI	I	I(964)		I			964				M	1	0	-3, -4, 0	-1	-3.0	-3.0	0	6	0.0	0.0	0.6875	0.0
40	38	1/4	1/4	3/4	2	1	I(64)		g	VI	I	I(64)		I			64				M	1	0	-3, -4, 0		-3.0	-3.0	0	5	0.0	0.0	1.25	0.0
40	38	1/2	1/2	3/4	2	1	I		g	VI	I	I		I							M	1	0	-3, 1, -2		-3.0	-3.0	0	5	0.0	0.0	1.25	0.0
41	39	0	0	3/4	2	1	V7(9)		g	VI	I	V7(9)		V		7	9				Mm7	1	0	-2, 2, -1, -4	0	-2.0	-2.0	4	13	0.23529411764705882	0.8125	2.9375	0.21666666666666667
42	40	0	0	3/4	2	1	I(64)}		g	VI	I	I(64)		I			64			}	M	1	0	-3, -4, 0		-3.0	-3.0	0	3	0.0	0.0	0.625	0.0
