mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	f.V7(9){						f	i		V7(9)	V		7	9			{	Mm7	1	1	0, 4, 1, -2	-5	0	0	0	6	0.0	0.0	1.75	0.0
2	2	0	0	3/4	2	1	V(64)						f	i		V(64)	V			64				M	1	1	0, -1, -4		0	0	3	8	0.2727272727272727	0.375	1.625	0.1875
3	3	0	0	3/4	2	1	V7						f	i		V7	V		7					Mm7	1	1	0, 4, 1, -2		0	0	0	9	0.0	0.0	2.0	0.0
4	4	0	0	3/4	2	1	i						f	i		i	i							m	1	1	-1, -4, 0		-1	-1	0	7	0.0	0.0	1.75	0.0
4	4	1/2	1/2	3/4	2	1	IV6/III						f	i		IV6/III	IV		6		III			M	1	1	-1, -4, -5		-5	-1	0	3	0.0	0.0	0.75	0.0
5	5	0	0	3/4	2	1	V65(9)/III						f	i		V65(9)/III	V		65	9	III			Mm7	1	1	1, -2, -5, -3	-1	-3	1	0	9	0.0	0.0	2.5	0.0
6	6	0	0	3/4	2	1	III						f	i		III	III							M	1	1	-4, 0, -3		-4	-4	3	6	0.3333333333333333	0.375	1.125	0.25
7	7	0	0	3/4	2	1	bII6						f	i		bII6	bII		6					M	1	1	-2, -5, -6		-6	-2	3	8	0.2727272727272727	0.375	1.625	0.1875
8	8	0	0	3/4	2	1	V}						f	i		V	V						}	M	1	1	0, 4, 1		0	0	1	2	0.3333333333333333	0.125	0.375	0.25
8	8	1/4	1/4	3/4	2	1	V|HC						f	i		V	V					HC		M	1	1	0, 4, 1		0	0	0	5	0.0	0.0	1.5	0.0
9	9	0	0	3/4	2	1	V7(9){						f	i		V7(9)	V		7	9			{	Mm7	1	1	0, 4, 1, -2	-5	0	0	0	8	0.0	0.0	2.0	0.0
10	10	0	0	3/4	2	1	V(64)						f	i		V(64)	V			64				M	1	1	0, -1, -4		0	0	3	9	0.25	0.375	1.875	0.16666666666666666
11	11	0	0	3/4	2	1	V7						f	i		V7	V		7					Mm7	1	1	0, 4, 1, -2		0	0	0	9	0.0	0.0	2.0	0.0
12	12	0	0	3/4	2	1	V7/iv						f	i		V7/iv	V		7		iv			Mm7	1	1	-1, 3, 0, -3		-1	-1	1	9	0.1	0.125	2.125	0.05555555555555555
13	13	0	0	3/4	2	1	ii%65(6)						f	i		ii%65(6)	ii	%	65	6				%7	1	1	-2, -3, -1, 1		1	-2	1	2	0.3333333333333333	0.125	0.375	0.25
13	13	1/4	1/4	3/4	2	1	ii%65						f	i		ii%65	ii	%	65					%7	1	1	-2, -5, -1, 1		1	-2	2	6	0.25	0.25	1.25	0.16666666666666666
14	14	0	0	3/4	2	1	V(964)						f	i		V(964)	V			964				M	1	1	0, -1, -4	-5	0	0	1	3	0.25	0.0	0.5	0.0
14	14	1/4	1/4	3/4	2	1	V(64)						f	i		V(64)	V			64				M	1	1	0, -1, -4		0	0	2	5	0.2857142857142857	0.25	1.0	0.2
15	15	0	0	3/4	2	1	V						f	i		V	V							M	1	1	0, 4, 1		0	0	3	4	0.42857142857142855	0.375	0.875	0.3
15	15	1/2	1/2	3/4	2	1	V7						f	i		V7	V		7					Mm7	1	1	0, 4, 1, -2		0	0	0	5	0.0	0.0	1.0	0.0
16	16	0	0	3/4	2	1	i}						f	i		i	i						}	m	1	1	-1, -4, 0		-1	-1	1	2	0.3333333333333333	0.125	0.375	0.25
