mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0.25		0	7/16	3/4	1	1	1/16		1/16	1		4	64	E4	4	0
1	0	1/4	0.75		1/16	1/2	3/4	1	1	3/16		1/8	3/2		3	69	A4	4	1
1	0	1	0.25		1/4	11/16	3/4	1	1	1/16		1/16	1		0	72	C5	5	2
2	1	5/4	0.0		0	0	3/4	1	1	0	acciaccatura	1/8	1		4	64	E4	4	3
2	1	5/4	1.0		0	0	3/4	2	1	1/4		1/4	1		3	33	A1	1	10
2	1	5/4	0.75		0	0	3/4	1	1	3/16		1/8	3/2		4	76	E5	5	4
2	1	2	0.25		3/16	3/16	3/4	1	1	1/16		1/16	1		4	76	E5	5	5
2	1	9/4	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		4	52	E3	3	11
2	1	9/4	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		0	60	C4	4	11
2	1	9/4	1.0		1/4	1/4	3/4	1	1	1/4		1/4	1		0	72	C5	5	6
2	1	13/4	0.0		1/2	1/2	3/4	1	1	0	grace16after	1/16	1		9	75	D#5	5	7
2	1	13/4	0.0		1/2	1/2	3/4	1	1	0	grace16after	1/16	1		14	74	C##5	5	8
2	1	13/4	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		4	52	E3	3	12
2	1	13/4	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		5	59	B3	3	12
2	1	13/4	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		9	75	D#5	5	9
3	2	17/4	1.0		0	0	3/4	2	1	1/4		1/4	1		3	45	A2	2	17
3	2	17/4	0.75		0	0	3/4	1	1	3/16		1/8	3/2		4	76	E5	5	13
3	2	5	0.25		3/16	3/16	3/4	1	1	1/16		1/16	1		4	76	E5	5	14
3	2	21/4	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		4	52	E3	3	18
3	2	21/4	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		0	60	C4	4	18
3	2	21/4	1.0		1/4	1/4	3/4	1	1	1/4		1/4	1		3	69	A4	4	15
3	2	25/4	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		4	52	E3	3	19
3	2	25/4	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		0	60	C4	4	19
3	2	25/4	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		0	72	C5	5	16
4	3	29/4	1.0		0	0	3/4	2	1	1/4		1/4	1		3	45	A2	2	26
4	3	29/4	0.75		0	0	3/4	1	1	3/16		1/8	3/2		5	71	B4	4	20
4	3	8	0.25		3/16	3/16	3/4	1	1	1/16		1/16	1		5	71	B4	4	21
4	3	33/4	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		4	52	E3	3	27
4	3	33/4	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		2	62	D4	4	27
4	3	33/4	1.0		1/4	1/4	3/4	1	1	1/4		1/4	1		6	66	F#4	4	22
4	3	37/4	0.0		1/2	1/2	3/4	1	1	0	grace16after	1/16	1		8	68	G#4	4	23
4	3	37/4	0.0		1/2	1/2	3/4	1	1	0	grace8after	1/16	1		6	66	F#4	4	24
4	3	37/4	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		4	52	E3	3	28
4	3	37/4	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		2	62	D4	4	28
4	3	37/4	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		8	68	G#4	4	25
5	4	41/4	1.0		0	0	3/4	2	1	1/4		1/4	1		3	45	A2	2	35
5	4	41/4	0.5		0	0	3/4	1	1	1/8		1/8	1		3	69	A4	4	29
5	4	11	0.25		3/16	3/16	3/4	1	1	1/16		1/16	1		4	64	E4	4	30
5	4	45/4	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		4	52	E3	3	36
5	4	45/4	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		0	60	C4	4	36
5	4	45/4	0.5		1/4	1/4	3/4	1	1	1/8		1/8	1		3	69	A4	4	31
5	4	12	0.25		7/16	7/16	3/4	1	1	1/16		1/16	1		4	64	E4	4	32
