mc	mn	onset	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	staff	voice	volta
1	1	0	1/4		1/4	1		1	43	2	1	
1	1	0	1/4		1/4	1		1	55	2	1	
1	1	1/4	1/4		1/4	1		1	43	2	1	
1	1	1/4	1/4		1/4	1		1	55	2	1	
1	1	1/2	1/4		1/4	1		1	43	2	1	
1	1	1/2	1/4		1/4	1		1	55	2	1	
2	2	0	1/4		1/4	1		1	43	2	1	
2	2	0	1/4		1/4	1		1	55	2	1	
2	2	1/4	1/4		1/4	1		1	43	2	1	
2	2	1/4	1/4		1/4	1		1	55	2	1	
2	2	1/2	1/4		1/4	1		1	43	2	1	
2	2	1/2	1/4		1/4	1		1	55	2	1	
3	3	0	1/4		1/4	1		1	43	2	1	
3	3	0	1/4		1/4	1		1	55	2	1	
3	3	1/4	1/4		1/4	1		1	43	2	1	
3	3	1/4	1/4		1/4	1		1	55	2	1	
3	3	1/2	1/4		1/4	1		1	43	2	1	
3	3	1/2	1/4		1/4	1		1	55	2	1	
4	4	0	1/4		1/4	1		1	43	2	1	
4	4	0	1/4		1/4	1		1	55	2	1	
4	4	1/4	1/4		1/4	1		1	43	2	1	
4	4	1/4	1/4		1/4	1		1	55	2	1	
4	4	1/2	1/4		1/4	1		1	43	2	1	
4	4	1/2	1/4		1/4	1		1	55	2	1	
5	5	0	1/4		1/4	1		1	55	2	1	
5	5	0	1/4		1/4	1		5	59	2	1	
5	5	0	1/4		1/4	1		-1	65	2	1	
5	5	0	1/12		1/8	2/3		2	74	1	1	
5	5	1/12	1/12		1/8	2/3		4	76	1	1	
5	5	1/6	1/12		1/8	2/3		2	74	1	1	
5	5	1/4	1/4		1/4	1		1	55	2	1	
5	5	1/4	1/4		1/4	1		0	60	2	1	
5	5	1/4	1/4		1/4	1		4	64	2	1	
5	5	1/4	1/4		1/4	1		1	67	1	1	
5	5	1/2	1/4		1/4	1		1	55	2	1	
5	5	1/2	1/4		1/4	1		0	60	2	1	
5	5	1/2	1/4		1/4	1		4	64	2	1	
5	5	1/2	3/16		1/8	3/2		0	72	1	1	
5	5	11/16	1/16		1/16	1		4	76	1	1	
6	6	0	1/4		1/4	1		1	55	2	1	
6	6	0	1/4		1/4	1		5	59	2	1	
6	6	0	1/4		1/4	1		-1	65	2	1	
6	6	0	1/12		1/8	2/3		2	74	1	1	
6	6	1/12	1/12		1/8	2/3		4	76	1	1	
6	6	1/6	1/12		1/8	2/3		2	74	1	1	
6	6	1/4	1/4		1/4	1		1	55	2	1	
6	6	1/4	1/4		1/4	1		0	60	2	1	
6	6	1/4	1/4		1/4	1		4	64	2	1	
6	6	1/4	1/4		1/4	1		1	67	1	1	
6	6	1/2	1/4		1/4	1		1	55	2	1	
6	6	1/2	1/4		1/4	1		0	60	2	1	
6	6	1/2	1/4		1/4	1		4	64	2	1	
6	6	1/2	3/16		1/8	3/2		0	72	1	1	
6	6	11/16	1/16		1/16	1		4	76	1	1	
7	7	0	1/4		1/4	1		1	55	2	1	
7	7	0	1/4		1/4	1		5	59	2	1	
7	7	0	1/4		1/4	1		-1	65	2	1	
7	7	0	1/4		1/4	1		3	81	1	1	
7	7	1/4	1/4		1/4	1		1	55	2	1	
7	7	1/4	1/4		1/4	1		5	59	2	1	
7	7	1/4	1/4		1/4	1		-1	65	2	1	
7	7	1/4	3/16		1/8	3/2		1	79	1	1	
7	7	7/16	1/16		1/16	1		4	76	1	1	
7	7	1/2	1/4		1/4	1		1	55	2	1	
7	7	1/2	1/4		1/4	1		5	59	2	1	
7	7	1/2	1/4		1/4	1		-1	65	2	1	
7	7	1/2	3/16		1/8	3/2		-1	77	1	1	
7	7	11/16	1/16		1/16	1		2	74	1	1	
8	8	0	1/4		1/4	1		0	48	2	1	
8	8	0	3/16		1/8	3/2		0	72	1	1	
8	8	3/16	1/16		1/16	1		4	76	1	1	
8	8	1/4	1/4		1/4	1		1	55	2	1	
8	8	1/4	1/4		1/4	1		0	60	2	1	
8	8	1/4	1/4		1/4	1		4	64	2	1	
8	8	1/4	3/16		1/8	3/2		1	79	1	1	
8	8	7/16	1/16		1/16	1		5	83	1	1	
8	8	1/2	1/4		1/4	1		1	55	2	1	
8	8	1/2	1/4		1/4	1		0	60	2	1	
8	8	1/2	1/4		1/4	1		4	64	2	1	
8	8	1/2	3/16		1/8	3/2		2	86	1	1	
8	8	11/16	1/16		1/16	1		0	84	1	1	
9	9	0	1/4		1/4	1		1	55	2	1	
9	9	0	1/4		1/4	1		5	59	2	1	
9	9	0	1/4		1/4	1		-1	65	2	1	
9	9	0	1/12		1/8	2/3		2	74	1	1	
9	9	1/12	1/12		1/8	2/3		4	76	1	1	
9	9	1/6	1/12		1/8	2/3		2	74	1	1	
9	9	1/4	1/4		1/4	1		1	55	2	1	
9	9	1/4	1/4		1/4	1		0	60	2	1	
9	9	1/4	1/4		1/4	1		4	64	2	1	
9	9	1/4	1/4		1/4	1		1	67	1	1	
9	9	1/2	1/4		1/4	1		1	55	2	1	
9	9	1/2	1/4		1/4	1		0	60	2	1	
9	9	1/2	1/4		1/4	1		4	64	2	1	
9	9	1/2	3/16		1/8	3/2		0	72	1	1	
9	9	11/16	1/16		1/16	1		4	76	1	1	
10	10	0	1/4		1/4	1		1	55	2	1	
10	10	0	1/4		1/4	1		5	59	2	1	
10	10	0	1/4		1/4	1		-1	65	2	1	
10	10	0	1/12		1/8	2/3		2	74	1	1	
10	10	1/12	1/12		1/8	2/3		4	76	1	1	
10	10	1/6	1/12		1/8	2/3		2	74	1	1	
10	10	1/4	1/4		1/4	1		1	55	2	1	
10	10	1/4	1/4		1/4	1		0	60	2	1	
10	10	1/4	1/4		1/4	1		4	64	2	1	
10	10	1/4	1/4		1/4	1		1	67	1	1	
10	10	1/2	1/4		1/4	1		1	55	2	1	
10	10	1/2	1/4		1/4	1		0	60	2	1	
10	10	1/2	1/4		1/4	1		4	64	2	1	
10	10	1/2	3/16		1/8	3/2		0	72	1	1	
10	10	11/16	1/16		1/16	1		4	76	1	1	
11	11	0	1/4		1/4	1		1	55	2	1	
11	11	0	1/4		1/4	1		5	59	2	1	
11	11	0	1/4		1/4	1		-1	65	2	1	
11	11	0	1/4		1/4	1		3	81	1	1	
11	11	1/4	1/4		1/4	1		1	55	2	1	
11	11	1/4	1/4		1/4	1		5	59	2	1	
11	11	1/4	1/4		1/4	1		-1	65	2	1	
11	11	1/4	3/16		1/8	3/2		1	79	1	1	
11	11	7/16	1/16		1/16	1		4	76	1	1	
11	11	1/2	1/4		1/4	1		1	55	2	1	
11	11	1/2	1/4		1/4	1		5	59	2	1	
11	11	1/2	1/4		1/4	1		-1	65	2	1	
11	11	1/2	3/16		1/8	3/2		-1	77	1	1	
11	11	11/16	1/16		1/16	1		2	74	1	1	
12	12	0	1/4		1/4	1		0	48	2	1	
12	12	0	3/16		1/8	3/2		0	72	1	1	
12	12	3/16	1/16		1/16	1		2	74	1	1	
12	12	1/4	1/4		1/4	1		1	55	2	1	
12	12	1/4	1/4		1/4	1		0	60	2	1	
12	12	1/4	1/4		1/4	1		4	64	2	1	
12	12	1/4	3/16		1/8	3/2		4	76	1	1	
12	12	7/16	1/16		1/16	1		5	71	1	1	
12	12	1/2	1/4		1/4	1		3	57	2	1	
