mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	1.0		0	1/2	3/4	1	1	1/4		1/4	1	1	3	69	A4	4	0
2	1	1	1.0		0	0	3/4	2	1	1/4		1/4	1		2	50	D3	3	10
2	1	1	1.0		0	0	3/4	1	2	1/4		1/4	1		6	66	F#4	4	7
2	1	1	0.5		0	0	3/4	1	1	1/8		1/8	1	-1	3	69	A4	4	1
2	1	3/2	0.5		1/8	1/8	3/4	1	1	1/8		1/8	1		7	73	C#5	5	2
2	1	2	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		2	50	D3	3	11
2	1	2	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		3	57	A3	3	11
2	1	2	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		2	62	D4	4	11
2	1	2	1.0		1/4	1/4	3/4	1	2	1/4		1/4	1		6	66	F#4	4	8
2	1	2	0.5		1/4	1/4	3/4	1	1	1/8		1/8	1		2	74	D5	5	3
2	1	5/2	0.5		3/8	3/8	3/4	1	1	1/8		1/8	1		4	76	E5	5	4
2	1	3	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		2	50	D3	3	12
2	1	3	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		3	57	A3	3	12
2	1	3	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		2	62	D4	4	12
2	1	3	1.0		1/2	1/2	3/4	1	2	1/4		1/4	1		6	66	F#4	4	9
2	1	3	0.5		1/2	1/2	3/4	1	1	1/8		1/8	1		6	78	F#5	5	5
2	1	7/2	0.5		5/8	5/8	3/4	1	1	1/8		1/8	1		1	79	G5	5	6
3	2	4	0.0		0	0	3/4	1	1	0	grace16	1/16	1		6	78	F#5	5	13
3	2	4	0.0		0	0	3/4	1	1	0	grace16	1/16	1		1	79	G5	5	14
3	2	4	1.0		0	0	3/4	2	1	1/4		1/4	1		3	45	A2	2	22
3	2	4	1.0		0	0	3/4	1	1	1/4		1/4	1		6	78	F#5	5	15
3	2	5	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		4	52	E3	3	23
