mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	0	0	1/2	3/4	1	1	1/4		1/4	1		4	64		0
2	1	0	0	3/4	1	1	3/4		1/2	3/2		0	60		1
2	1	0	0	3/4	1	1	3/4		1/2	3/2		4	64		1
2	1	1/4	1/4	3/4	2	1	1/8		1/8	1		-1	53		2
2	1	3/8	3/8	3/4	2	1	1/8		1/8	1		4	52		3
2	1	1/2	1/2	3/4	2	1	1/8		1/8	1		3	57		4
2	1	5/8	5/8	3/4	2	1	1/8		1/8	1		5	59		5
3	2	0	0	3/4	2	1	1/12		1/8	2/3		0	60		7
3	2	0	0	3/4	1	1	3/4		1/2	3/2		9	63		6
3	2	0	0	3/4	1	1	3/4		1/2	3/2		6	66		6
3	2	0	0	3/4	1	1	3/4		1/2	3/2		3	69		6
3	2	1/12	1/12	3/4	2	1	1/12		1/8	2/3		2	62		8
3	2	1/6	1/6	3/4	2	1	1/12		1/8	2/3		0	60		9
3	2	1/4	1/4	3/4	2	1	1/8		1/8	1		5	59		10
3	2	3/8	3/8	3/4	2	1	1/8		1/8	1		2	62		11
3	2	1/2	1/2	3/4	2	1	1/4		1/4	1		0	60		12
4	3	0	0	3/4	2	1	1/4		1/4	1		5	59		14
4	3	0	0	3/4	1	1	3/4		1/2	3/2		9	63		13
4	3	0	0	3/4	1	1	3/4		1/2	3/2		6	66		13
4	3	0	0	3/4	1	1	3/4		1/2	3/2		3	69		13
4	3	0	0	3/4	1	1	3/4		1/2	3/2		5	71		13
4	3	1/4	1/4	3/4	2	1	1/8		1/8	1		10	58		15
4	3	3/8	3/8	3/4	2	1	1/8		1/8	1		5	59		16
4	3	1/2	1/2	3/4	2	1	1/8		1/8	1		0	60		17
4	3	5/8	5/8	3/4	2	1	1/8		1/8	1		5	59		18
5	4	0	0	3/4	2	1	1/4		1/4	1		6	54		21
5	4	1/4	1/4	3/4	2	1	1/4		1/4	1		5	47		22
5	4	1/4	1/4	3/4	1	1	1/4		1/4	1		3	57		19
5	4	1/4	1/4	3/4	1	1	1/4		1/4	1		5	59		19
5	4	1/4	1/4	3/4	1	1	1/4		1/4	1		9	63		19
5	4	1/4	1/4	3/4	1	1	1/4		1/4	1		6	66		19
5	4	1/2	1/2	3/4	2	1	1/4		1/4	1		4	40		23
5	4	1/2	1/2	3/4	1	1	1/4		1/4	1		8	56		20
5	4	1/2	1/2	3/4	1	1	1/4		1/4	1		2	62		20
5	4	1/2	1/2	3/4	1	1	1/4		1/4	1		4	64		20
5	4	1/2	1/2	3/4	1	1	1/4		1/4	1		8	68		20
6	5	0	0	3/4	2	2	3/4		1/2	3/2		3	45		29
6	5	0	0	3/4	1	1	3/4		1/2	3/2		3	57		24
6	5	0	0	3/4	1	1	3/4		1/2	3/2		0	60		24
6	5	0	0	3/4	1	1	3/4		1/2	3/2		4	64		24
6	5	1/4	1/4	3/4	2	1	1/8		1/8	1		-1	53		25
6	5	3/8	3/8	3/4	2	1	1/8		1/8	1		4	52		26
6	5	1/2	1/2	3/4	2	1	1/8		1/8	1		3	57		27
6	5	5/8	5/8	3/4	2	1	1/8		1/8	1		5	59		28
7	6	0	0	3/4	2	1	1/12		1/8	2/3		0	60		31
7	6	0	0	3/4	1	1	3/4		1/2	3/2		9	63		30
7	6	0	0	3/4	1	1	3/4		1/2	3/2		6	66		30
7	6	0	0	3/4	1	1	3/4		1/2	3/2		3	69		30
7	6	1/12	1/12	3/4	2	1	1/12		1/8	2/3		2	62		32
7	6	1/6	1/6	3/4	2	1	1/12		1/8	2/3		0	60		33
7	6	1/4	1/4	3/4	2	1	1/8		1/8	1		5	59		34
7	6	3/8	3/8	3/4	2	1	1/8		1/8	1		2	62		35
7	6	1/2	1/2	3/4	2	1	1/4		1/4	1		0	60		36
8	7	0	0	3/4	2	1	1/4		1/4	1		5	59		38
8	7	0	0	3/4	1	1	3/4		1/2	3/2		9	63		37
8	7	0	0	3/4	1	1	3/4		1/2	3/2		6	66		37
8	7	0	0	3/4	1	1	3/4		1/2	3/2		3	69		37
8	7	0	0	3/4	1	1	3/4		1/2	3/2		5	71		37
8	7	1/4	1/4	3/4	2	1	1/8		1/8	1		10	58		39
8	7	3/8	3/8	3/4	2	1	1/8		1/8	1		5	59		40
8	7	1/2	1/2	3/4	2	1	1/8		1/8	1		0	60		41
8	7	5/8	5/8	3/4	2	1	1/8		1/8	1		5	59		42
9	8	0	0	3/4	2	1	1/4		1/4	1		6	54		45
9	8	1/4	1/4	3/4	2	1	1/4		1/4	1		5	47		46
9	8	1/4	1/4	3/4	1	1	1/4		1/4	1		3	57		43
9	8	1/4	1/4	3/4	1	1	1/4		1/4	1		5	59		43
9	8	1/4	1/4	3/4	1	1	1/4		1/4	1		9	63		43
9	8	1/4	1/4	3/4	1	1	1/4		1/4	1		6	66		43
9	8	1/2	1/2	3/4	2	1	1/4		1/4	1		4	40		47
9	8	1/2	1/2	3/4	1	1	1/4		1/4	1		8	56		44
9	8	1/2	1/2	3/4	1	1	1/4		1/4	1		2	62		44
9	8	1/2	1/2	3/4	1	1	1/4		1/4	1		4	64		44
9	8	1/2	1/2	3/4	1	1	1/4		1/4	1		8	68		44
10	9	0	0	3/4	2	1	1/4		1/4	1		3	45		56
10	9	0	0	3/4	2	1	1/4		1/4	1		4	52		56
10	9	0	0	3/4	2	1	1/4		1/4	1		0	60		56
10	9	0	0	3/4	1	2	1/4		1/4	1		4	64		52
10	9	0	0	3/4	1	2	1/4		1/4	1		3	69		52
10	9	0	0	3/4	1	1	1/2		1/2	1		4	76		48
10	9	1/4	1/4	3/4	1	2	1/8		1/8	1		4	64		53
10	9	3/8	3/8	3/4	1	2	1/8		1/8	1	1	3	69		54
10	9	1/2	1/2	3/4	2	1	1/4		1/4	1		3	45		57
10	9	1/2	1/2	3/4	2	1	1/4		1/4	1		4	52		57
10	9	1/2	1/2	3/4	2	1	1/4		1/4	1		0	60		57
10	9	1/2	1/2	3/4	1	2	1/4		1/4	1		4	64		55
10	9	1/2	1/2	3/4	1	2	1/4		1/4	1	-1	3	69		55
10	9	1/2	1/2	3/4	1	1	1/12		1/8	2/3		4	76		49
10	9	7/12	7/12	3/4	1	1	1/12		1/8	2/3		-1	77		50
10	9	2/3	2/3	3/4	1	1	1/12		1/8	2/3		4	76		51
11	10	0	0	3/4	2	1	1/2		1/2	1		5	47		66
11	10	0	0	3/4	2	1	1/2		1/2	1		6	54		66
11	10	0	0	3/4	2	1	1/2		1/2	1		5	59		66
11	10	0	0	3/4	1	1	3/8		1/4	3/2		9	75		58
11	10	1/8	1/8	3/4	1	2	1/8		1/8	1		9	63		61
11	10	1/8	1/8	3/4	1	3	3/8		1/4	3/2		9	63		64
11	10	1/4	1/4	3/4	1	2	1/8		1/8	1		3	69		62
11	10	1/4	1/4	3/4	1	4	1/4		1/4	1		3	69		65
11	10	3/8	3/8	3/4	1	1	1/8		1/8	1		9	75		59
11	10	1/2	1/2	3/4	2	1	1/4		1/4	1		4	52		67
11	10	1/2	1/2	3/4	2	1	1/4		1/4	1		5	59		67
11	10	1/2	1/2	3/4	1	2	1/4		1/4	1		4	64		63
11	10	1/2	1/2	3/4	1	2	1/4		1/4	1		8	68		63
11	10	1/2	1/2	3/4	1	1	1/4		1/4	1		2	74		60
