mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0								Allegretto	116.0	1.0					
1	1	1	1	0.0	1/4	1/4	StaffText	3/4	1	1	0							<i>dolce</i>								
1	1	1	1	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	0							0				
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	1							0				
1	1	0	0	0.0	0	0	Spanner	3/4	2	1	0														0	0
1	1	0	0	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	2										0	0
1	1	1	1	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	3										0	0
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	4										0	0
2	2	3	3	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	5							0				
2	2	7/2	7/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	6							0				
2	2	4	4	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	7							0				
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	8							0				
2	2	3	3	0.0	0	0	Spanner	3/4	2	1	0															
2	2	3	3	0.0	0	0	Spanner	3/4	2	1	0														1	1
2	2	3	3	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	9										1	1
2	2	4	4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	10										1	1
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	11										1	1
3	3	6	6	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	12							0				
3	3	7	7	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	13							0				
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	14							0				
3	3	6	6	0.0	0	0	Spanner	3/4	2	1	0															
3	3	6	6	0.0	0	0	Spanner	3/4	2	1	0														2	2
3	3	6	6	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	15										2	2
3	3	7	7	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	16										2	2
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	17										2	2
4	4	9	9	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	18							0				
4	4	19/2	19/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	19							0				
4	4	10	10	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	20							0				
4	4	11	11	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	21											
4	4	9	9	0.0	0	0	Spanner	3/4	2	1	0															
