mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	tempo_visible	slur	diminuendo_line	crescendo_hairpin	decrescendo_hairpin	crescendo_line	HairPin:2_poco cresc.	pedal	Pedal_<sym>keyboardPedalPed</sym>
18	17	49	49	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	124													
18	17	50	50	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	125													
18	17	49	49	0.0	0	0	Spanner	3/4	2	1	0													2				
18	17	49	49	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	126						6			2				
18	17	199/4	199/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	127						6			2				
18	17	50	50	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12		1/8	2/3	128						6			2				
18	17	151/3	151/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12		1/8	2/3	129						6			2				
18	17	152/3	152/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12		1/8	2/3	130						6			2				
18	17	51	51	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	131						6			2				
18	17	103/2	103/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	132						6			2				
19	18	52	52	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	133						5							
19	18	211/4	211/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	134						5							
19	18	53	53	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	135						5							
19	18	54	54	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	136						5							
19	18	109/2	109/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	137						5							
19	18	53	53	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	138													
19	18	52	52	0.0	0	0	Spanner	3/4	2	1	0										6							
19	18	52	52	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	139						6							
19	18	211/4	211/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	140						6							
19	18	53	53	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12		1/8	2/3	141						6							
19	18	160/3	160/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12		1/8	2/3	142						6							
19	18	161/3	161/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12		1/8	2/3	143						6							
19	18	54	54	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	144						6							
19	18	109/2	109/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	145						6							
20	19	55	55	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	146						5							
20	19	223/4	223/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	147						5							
20	19	56	56	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	148						5							
20	19	57	57	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	149													
20	19	55	55	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	150						6							
20	19	223/4	223/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	151						6							
20	19	56	56	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	152						6							
20	19	57	57	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	153						6							
21	20	58	58	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	154						7							
21	20	58	58	0.0	0	0	Spanner	3/4	2	1	0																0	0
21	20	58	58	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	155												0	0
21	20	59	59	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	156												0	0
21	20	60	60	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	157												0	0
22	21	61	61	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	158						7							
22	21	247/4	247/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	159						7							
22	21	62	62	1.75	1/4	1/4	Chord	3/4	1	1	7/16		1/4	7/4	160						7, 8							
22	21	255/4	255/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	161						7, 8							
22	21	61	61	0.0	0	0	Dynamic	3/4	1	2	0					p												
22	21	61	61	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	162													
22	21	62	62	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	163													
22	21	61	61	0.0	0	0	Spanner	3/4	2	1	0																	
22	21	61	61	0.0	0	0	Chord	3/4	2	1	0	acciaccatura	1/8	1	164													
22	21	61	61	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	165						9							
22	21	247/4	247/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	166						9							
22	21	62	62	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12		1/8	2/3	167						9							
22	21	187/3	187/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12		1/8	2/3	168						9							
22	21	188/3	188/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12		1/8	2/3	169						9							
22	21	63	63	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	170						9							
22	21	127/2	127/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	171						9							
23	22	64	64	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	172						7							
23	22	259/4	259/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	173						7							
23	22	65	65	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	174						7							
23	22	64	64	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	175													
23	22	65	65	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	176													
23	22	64	64	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	177						9							
23	22	259/4	259/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	178						9							
23	22	65	65	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12		1/8	2/3	179						9							
23	22	196/3	196/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12		1/8	2/3	180						9							
23	22	197/3	197/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12		1/8	2/3	181						9							
23	22	66	66	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	182						9							
23	22	133/2	133/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	183						9							
24	23	67	67	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	184						7							
24	23	271/4	271/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	185						7							
24	23	68	68	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	186						7, 10							
24	23	69	69	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	187						7							
24	23	67	67	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	188						9							
24	23	271/4	271/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	189						9							
24	23	68	68	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	190						9							
24	23	69	69	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	191						9							
25	24	70	70	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	192													
25	24	70	70	0.0	0	0	Spanner	3/4	2	1	0																1	1
25	24	70	70	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	193												1	1
25	24	71	71	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	194												1	1
25	24	72	72	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	195												1	1
26	25	73	73	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	196						11							
26	25	295/4	295/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	197						11							
26	25	74	74	1.75	1/4	1/4	Chord	3/4	1	1	7/16		1/4	7/4	198						11							
26	25	303/4	303/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	199						11							
26	25	73	73	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	200													
26	25	74	74	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	201													
26	25	73	73	0.0	0	0	Spanner	3/4	2	1	0																	
26	25	73	73	0.0	0	0	Chord	3/4	2	1	0	acciaccatura	1/8	1	202													
26	25	73	73	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	203						12							
26	25	295/4	295/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	204						12							
26	25	74	74	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12		1/8	2/3	205						12							
26	25	223/3	223/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12		1/8	2/3	206						12							
26	25	224/3	224/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12		1/8	2/3	207						12							
26	25	75	75	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	208						12							
26	25	151/2	151/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	209						12							
27	26	76	76	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	210						11							
27	26	307/4	307/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	211						11							
27	26	77	77	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	212						11							
27	26	78	78	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	213						11							
27	26	157/2	157/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	214						11							
27	26	77	77	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	215													
27	26	76	76	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	216						12							
27	26	307/4	307/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	217						12							
27	26	77	77	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12		1/8	2/3	218						12							
27	26	232/3	232/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12		1/8	2/3	219						12							
27	26	233/3	233/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12		1/8	2/3	220						12							
27	26	78	78	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	221						12							
27	26	157/2	157/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	222						12							
28	27	79	79	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	223						11							
28	27	319/4	319/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	224						11							
28	27	80	80	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	225						11							
28	27	81	81	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	226						11							
28	27	79	79	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	227						12							
28	27	319/4	319/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	228						12							
28	27	80	80	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	229						12							
28	27	81	81	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	230						12							
29	28	82	82	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	231													
29	28	82	82	0.0	0	0	Spanner	3/4	2	1	0																2	2
29	28	82	82	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	232												2	2
29	28	83	83	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	233												2	2
29	28	84	84	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	234												2	2
30	29	85	85	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	235						13							
30	29	343/4	343/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	236						13							
30	29	86	86	1.75	1/4	1/4	Chord	3/4	1	1	7/16		1/4	7/4	237						13, 14							
30	29	351/4	351/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	238						13, 14							
30	29	85	85	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	239													
30	29	86	86	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	240													
30	29	85	85	0.0	0	0	Spanner	3/4	2	1	0																	
30	29	85	85	0.0	0	0	Chord	3/4	2	1	0	acciaccatura	1/8	1	241													
30	29	85	85	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	242						15							
30	29	343/4	343/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	243						15							
30	29	86	86	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12		1/8	2/3	244						15							
30	29	259/3	259/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12		1/8	2/3	245						15							
30	29	260/3	260/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12		1/8	2/3	246						15							
30	29	87	87	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	247						15							
30	29	175/2	175/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	248						15							
31	30	88	88	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	249						13							
31	30	355/4	355/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	250						13							
31	30	89	89	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	251						13							
31	30	88	88	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	252													
31	30	88	88	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	253						15							
31	30	355/4	355/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	254						15							
31	30	89	89	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12		1/8	2/3	255						15							
31	30	268/3	268/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12		1/8	2/3	256						15							
31	30	269/3	269/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12		1/8	2/3	257						15							
31	30	90	90	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	258						15							
31	30	181/2	181/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	259						15							
32	31	91	91	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	260						13							
32	31	367/4	367/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	261						13							
32	31	92	92	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	262						13							
32	31	93	93	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	263						13							
