mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	crescendo_hairpin	decrescendo_hairpin	crescendo_line	pedal
1	1	0	0	0.0		0	0	Dynamic	3/4	1	1	0					f							
1	1	0	0	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	0								
1	1	3/4	3/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	1				0				
1	1	1	1	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	2				0				
1	1	2	2	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	3				0				
1	1	0	0	0.0		0	0	Spanner	3/4	2	1	0												0
1	1	0	0	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	4								0
1	1	1	1	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	5								0
1	1	2	2	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	6								0
2	2	3	3	0.0		0	0	Spanner	3/4	1	1	0											0	
2	2	3	3	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	7							0	
2	2	15/4	15/4	0.0		3/16	3/16	Spanner	3/4	1	1	0												
2	2	15/4	15/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	8				1				
2	2	4	4	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	9				1				
2	2	5	5	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	10				1				
2	2	11/2	11/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	11				1				
2	2	3	3	0.0		0	0	Spanner	3/4	2	1	0												
2	2	3	3	0.0		0	0	Spanner	3/4	2	1	0												1
2	2	3	3	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	12								1
2	2	4	4	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	13								1
2	2	5	5	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	14								1
3	3	6	6	0.0		0	0	Dynamic	3/4	1	1	0					ff							
3	3	6	6	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	15								
3	3	27/4	27/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	16				2				
3	3	7	7	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	17		ornamentTrill		2				
3	3	8	8	0.0		1/2	1/2	Spanner	3/4	1	1	0								2		0		
3	3	8	8	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	18				2		0		
3	3	17/2	17/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	19				2		0		
3	3	6	6	0.0		0	0	Spanner	3/4	2	1	0												
3	3	6	6	0.0		0	0	Spanner	3/4	2	1	0												2
3	3	6	6	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	20								2
3	3	7	7	0.0		1/4	1/4	Dynamic	3/4	2	1	0					fz							2
3	3	7	7	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	21								2
4	4	9	9	0.0		0	0	Dynamic	3/4	1	1	0					p							
4	4	9	9	0.0		0	0	Spanner	3/4	1	1	0												
4	4	9	9	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	22								
4	4	9	9	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	23		articStaccatissimoAbove						
4	4	39/4	39/4	0.0		3/16	3/16	StaffText	3/4	1	1	0							scherz.					
4	4	39/4	39/4	0.0		3/16	3/16	Spanner	3/4	1	1	0										1		
4	4	39/4	39/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	24				3		1		
4	4	10	10	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	25						1		
4	4	9	9	0.0		0	0	Spanner	3/4	2	1	0												
4	4	9	9	0.0		0	0	Spanner	3/4	2	1	0												3
4	4	9	9	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	26		articStaccatoBelow						3
4	4	10	10	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	27								3
4	4	11	11	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	28								3
5	5	12	12	0.0		0	0	Spanner	3/4	1	1	0												
5	5	12	12	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	29								
5	5	12	12	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	30								
5	5	51/4	51/4	0.0		3/16	3/16	Spanner	3/4	1	1	0										2		
5	5	51/4	51/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	31				4		2		
