mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	tempo_visible	slur	crescendo_line	HairPin:2_poco a poco cresc.	HairPin:2_poco cresc.	pedal	Pedal_<sym>keyboardPedalPed</sym>
3	2	6	6	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	14										1	1
4	3	7	7	0.0	0	0	Dynamic	3/4	1	1	0					f										
4	3	7	7	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	2/3	15											
4	3	7	7	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	16						1					
4	3	22/3	22/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	17						1					
4	3	23/3	23/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	18						1					
4	3	8	8	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	19						1					
4	3	9	9	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	20						1					
4	3	7	7	0.0	0	0	Spanner	3/4	2	1	0															
4	3	7	7	0.0	0	0	Spanner	3/4	2	1	0														2	2
4	3	7	7	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	21										2	2
4	3	8	8	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	22										2	2
4	3	9	9	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	23										2	2
5	4	10	10	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	24		articAccentBelow				1					
5	4	21/2	21/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	25		articAccentBelow				1					
5	4	11	11	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	26		articAccentBelow									
5	4	10	10	0.0	0	0	Spanner	3/4	2	1	0															
5	4	10	10	0.0	0	0	Spanner	3/4	2	1	0														3	3
5	4	10	10	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	27										3	3
5	4	11	11	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	28										3	3
5	4	12	12	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	29										3	3
6	5	13	13	0.0	0	0	Dynamic	3/4	1	1	0					p										
6	5	13	13	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	30						2					
6	5	40/3	40/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	31						2					
6	5	41/3	41/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	32						2					
6	5	14	14	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	33						2					
6	5	15	15	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	34						2					
6	5	13	13	0.0	0	0	Spanner	3/4	2	1	0															
6	5	13	13	0.0	0	0	Spanner	3/4	2	1	0														4	4
6	5	13	13	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	35										4	4
6	5	14	14	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	36										4	4
6	5	15	15	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	37										4	4
7	6	16	16	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	38						2					
7	6	33/2	33/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	39						2					
7	6	17	17	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	40											
7	6	16	16	0.0	0	0	Spanner	3/4	2	1	0															
7	6	16	16	0.0	0	0	Spanner	3/4	2	1	0														5	5
7	6	16	16	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	41										5	5
7	6	17	17	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	42										5	5
7	6	18	18	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	43										5	5
8	7	19	19	0.0	0	0	Dynamic	3/4	1	1	0					f										
8	7	19	19	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	44						3					
8	7	58/3	58/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	45						3					
8	7	59/3	59/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	46						3					
8	7	20	20	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	47						3					
8	7	21	21	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	48						3					
8	7	19	19	0.0	0	0	Spanner	3/4	2	1	0															
8	7	19	19	0.0	0	0	Spanner	3/4	2	1	0														6	6
8	7	19	19	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	49										6	6
8	7	20	20	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	50										6	6
8	7	21	21	0.0	1/2	1/2	Spanner	3/4	2	1	0															
8	7	21	21	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	51											
9	8	22	22	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	52		articAccentBelow				3					
9	8	45/2	45/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	53		articAccentBelow				3					
9	8	23	23	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	54		articAccentBelow									
9	8	49/2	49/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	55											
9	8	23	23	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	56											
9	8	22	22	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	57						4					
10	9	25	25	0.0	0	0	Dynamic	3/4	1	1	0					p										
10	9	25	25	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	2/3	58											
10	9	25	25	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	59						5					
10	9	76/3	76/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	60						5					
10	9	77/3	77/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	61						5					
10	9	26	26	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	62						5					
10	9	27	27	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	63						5					
10	9	25	25	0.0	0	0	Spanner	3/4	2	1	0														7	7
10	9	25	25	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	64										7	7
10	9	26	26	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	65										7	7
10	9	27	27	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	66										7	7
11	10	28	28	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	67											
11	10	115/4	115/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	68						6					
11	10	29	29	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	69											
11	10	28	28	0.0	0	0	Spanner	3/4	2	1	0															
11	10	28	28	0.0	0	0	Spanner	3/4	2	1	0														8	8
11	10	28	28	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	70										8	8
11	10	29	29	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	71										8	8
11	10	30	30	0.0	1/2	1/2	Spanner	3/4	2	1	0															
11	10	30	30	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	72											
12	11	31	31	0.0	0	0	Dynamic	3/4	1	1	0					f										
12	11	31	31	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	2/3	73											
12	11	31	31	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	74						7					
12	11	94/3	94/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	75						7					
12	11	95/3	95/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	76						7					
12	11	32	32	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	77						7					
12	11	33	33	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	78						7					
12	11	31	31	0.0	0	0	Spanner	3/4	2	1	0														9	9
12	11	31	31	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	79										9	9
12	11	32	32	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	80										9	9
12	11	33	33	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	81										9	9
13	12	34	34	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	82											
13	12	139/4	139/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	83						8					
13	12	35	35	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	84											
13	12	34	34	0.0	0	0	Spanner	3/4	2	1	0															
13	12	34	34	0.0	0	0	Spanner	3/4	2	1	0														10	10
13	12	34	34	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	85										10	10
13	12	35	35	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	86										10	10
13	12	36	36	0.0	1/2	1/2	Spanner	3/4	2	1	0															
13	12	36	36	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	87											
14	13	37	37	0.0	0	0	Dynamic	3/4	1	1	0					p										
14	13	37	37	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	2/3	88											
14	13	37	37	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	89						9					
14	13	112/3	112/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	90						9					
14	13	113/3	113/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	91						9					
14	13	38	38	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	92						9					
14	13	39	39	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	93						9					
14	13	37	37	0.0	0	0	Spanner	3/4	2	1	0														11	11
14	13	37	37	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	94										11	11
14	13	38	38	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	95										11	11
14	13	39	39	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	96										11	11
15	14	40	40	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	97											
15	14	163/4	163/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	98						10					
15	14	41	41	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	99											
15	14	40	40	0.0	0	0	Spanner	3/4	2	1	0															
15	14	40	40	0.0	0	0	Spanner	3/4	2	1	0														12	12
15	14	40	40	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	100										12	12
15	14	41	41	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	101										12	12
15	14	42	42	0.0	1/2	1/2	Spanner	3/4	2	1	0															
15	14	42	42	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	102											
16	15	43	43	0.0	0	0	Dynamic	3/4	1	1	0					f										
16	15	43	43	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	2/3	103											
16	15	43	43	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	104						11					
16	15	130/3	130/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	105						11					
16	15	131/3	131/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	106						11					
16	15	44	44	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	107						11					
16	15	45	45	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	108						11					
16	15	43	43	0.0	0	0	Spanner	3/4	2	1	0														13	13
16	15	43	43	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	109										13	13
16	15	44	44	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	110										13	13
16	15	45	45	0.0	1/2	1/2	Spanner	3/4	2	1	0															
16	15	45	45	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	111											
17	16	46	46	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	112											
17	16	187/4	187/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	113						12					
17	16	47	47	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	114											
17	16	48	48	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	115		articAccentBelow									
17	16	47	47	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	116											
17	16	46	46	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	117						13					
18	17	49	49	0.0	0	0	Spanner	3/4	1	1	0											0	0			
18	17	49	49	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	118						14	0	0			
18	17	99/2	99/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	119						14	0	0			
18	17	50	50	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	120						14	0	0			
18	17	51	51	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	121						14	0	0			
18	17	103/2	103/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	122						14	0	0			
18	17	50	50	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	123							0	0			
18	17	51	51	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	124							0	0			
18	17	49	49	0.0	0	0	Spanner	3/4	2	1	0														14	14
18	17	49	49	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	125										14	14
18	17	50	50	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	126										14	14
18	17	51	51	0.0	1/2	1/2	Spanner	3/4	2	1	0															
18	17	51	51	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	127											
19	18	52	52	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	128						14	0	0			
19	18	105/2	105/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	129						14	0	0			
19	18	53	53	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	130						14	0	0			
19	18	54	54	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	131						14	0	0			
19	18	109/2	109/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	132						14	0	0			
19	18	52	52	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	133							0	0			
19	18	53	53	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	134							0	0			
19	18	54	54	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	135							0	0			
19	18	52	52	0.0	0	0	Spanner	3/4	2	1	0														15	15
19	18	52	52	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	136										15	15
19	18	53	53	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	137										15	15
19	18	54	54	0.0	1/2	1/2	Spanner	3/4	2	1	0															
19	18	54	54	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	138											
20	19	55	55	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	139						14	0	0			
20	19	111/2	111/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	140						14	0	0			
20	19	56	56	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	141						14	0	0			
20	19	57	57	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	142						14	0	0			
20	19	115/2	115/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	143						14	0	0			
20	19	55	55	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	144							0	0			
20	19	56	56	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	145							0	0			
20	19	57	57	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	146							0	0			
20	19	55	55	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	147											
20	19	56	56	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	148											
20	19	57	57	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	149											
21	20	58	58	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	150						14	0	0			
21	20	117/2	117/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	151						14	0	0			
21	20	59	59	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	152						14	0	0			
21	20	60	60	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	153						14	0	0			
21	20	121/2	121/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	154						14	0	0			
21	20	58	58	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	155							0	0			
21	20	59	59	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	156							0	0			
21	20	60	60	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	157							0	0			
21	20	58	58	0.0	0	0	Spanner	3/4	2	1	0														16	16
21	20	58	58	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	158										16	16
21	20	59	59	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	159										16	16
21	20	60	60	0.0	1/2	1/2	Spanner	3/4	2	1	0															
21	20	60	60	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	160											
22	21	61	61	0.0	0	0	Spanner	3/4	1	1	0										14					
22	21	61	61	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	161						14					
22	21	123/2	123/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	162						14					
22	21	62	62	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	163						14					
22	21	63	63	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	164						14					
22	21	127/2	127/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	165						14					
22	21	61	61	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	166											
22	21	62	62	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	167											
22	21	63	63	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	168											
22	21	61	61	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	169											
22	21	62	62	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	170											
22	21	63	63	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	171											
23	22	64	64	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	172						14					
23	22	129/2	129/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	173						14					
23	22	65	65	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	174						14					
23	22	66	66	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	175						14					
23	22	64	64	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	176											
23	22	65	65	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	177											
23	22	66	66	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	178											
23	22	64	64	0.0	0	0	Spanner	3/4	2	1	0														17	17
23	22	64	64	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	179										17	17
23	22	65	65	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	180										17	17
23	22	66	66	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	181										17	17
24	23	67	67	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	182						14					
24	23	135/2	135/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	183						14					
24	23	68	68	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	184						14					
24	23	69	69	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	185						14					
24	23	67	67	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	186											
24	23	68	68	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	187											
24	23	69	69	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	188											
24	23	67	67	0.0	0	0	Spanner	3/4	2	1	0															
24	23	67	67	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	189											
24	23	68	68	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	190											
24	23	69	69	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	191											
24	23	67	67	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	192											
24	23	135/2	135/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	193											
25	24	70	70	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	194						14					
25	24	72	72	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	195						15					
25	24	71	71	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	196											
25	24	70	70	0.0	0	0	Spanner	3/4	2	1	0														18	18
25	24	70	70	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	197										18	18
25	24	71	71	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	198										18	18
25	24	72	72	0.0	1/2	1/2	Spanner	3/4	2	1	0															
25	24	72	72	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	199											
26	25	73	73	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	200						15					
26	25	147/2	147/2	0.0	1/8	1/8	Spanner	3/4	1	1	0										15	1	1			
26	25	147/2	147/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	201						15	1	1			
26	25	74	74	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	202						15	1	1			
26	25	75	75	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	203						15	1	1			
26	25	151/2	151/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	204						15	1	1			
26	25	73	73	0.0	0	0	Dynamic	3/4	1	2	0					p						1	1			
26	25	73	73	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	205							1	1			
26	25	74	74	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	206							1	1			
26	25	75	75	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	207							1	1			
26	25	73	73	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	208											
26	25	74	74	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	209											
26	25	75	75	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	210											
27	26	76	76	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	211						15	1	1			
27	26	153/2	153/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	212						15	1	1			
27	26	77	77	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	213						15	1	1			
27	26	78	78	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	214						15	1	1			
27	26	157/2	157/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	215						15	1	1			
27	26	76	76	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	216							1	1			
27	26	77	77	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	217							1	1			
27	26	78	78	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	218							1	1			
27	26	76	76	0.0	0	0	Spanner	3/4	2	1	0														19	19
27	26	76	76	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	219										19	19
27	26	77	77	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	220										19	19
27	26	78	78	0.0	1/2	1/2	Spanner	3/4	2	1	0															
27	26	78	78	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	221											
28	27	79	79	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	222						15	1	1			
28	27	159/2	159/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	223						15	1	1			
28	27	80	80	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	224						15	1	1			
28	27	81	81	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	225						15	1	1			
28	27	163/2	163/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	226						15	1	1			
28	27	79	79	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	227							1	1			
28	27	80	80	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	228							1	1			
28	27	81	81	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	229							1	1			
28	27	79	79	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	230											
28	27	80	80	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	231											
28	27	81	81	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	232											
29	28	82	82	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	233						15	1	1			
29	28	165/2	165/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	234						15	1	1			
29	28	83	83	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	235						15	1	1			
29	28	84	84	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	236						15	1	1			
29	28	169/2	169/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	237						15	1	1			
29	28	82	82	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	238							1	1			
29	28	83	83	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	239							1	1			
29	28	84	84	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	240							1	1			
29	28	82	82	0.0	0	0	Spanner	3/4	2	1	0														20	20
29	28	82	82	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	241										20	20
29	28	83	83	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	242										20	20
29	28	84	84	0.0	1/2	1/2	Spanner	3/4	2	1	0															
