mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
9	9	24	24	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	54									2		
9	9	24	24	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	55									2		
9	9	25	25	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	56									2		
9	9	24	24	0.0	0	0	Spanner	3/4	2	1	0															
9	9	24	24	0.0	0	0	Spanner	3/4	2	1	0														8	8
9	9	24	24	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	57										8	8
9	9	25	25	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	58										8	8
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	59										8	8
10	10	27	27	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	60							2		2		
10	10	55/2	55/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	61							2		2		
10	10	28	28	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	62							2		2		
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	63							2		2		
10	10	29	29	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	64							2		2		
10	10	59/2	59/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	65							2		2		
10	10	27	27	0.0	0	0	Spanner	3/4	2	1	0															
10	10	27	27	0.0	0	0	Spanner	3/4	2	1	0														9	9
10	10	27	27	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	66										9	9
10	10	28	28	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	67										9	9
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	68										9	9
11	11	30	30	0.0	0	0	Spanner	3/4	1	1	0											2				
11	11	30	30	0.0	0	0	Spanner	3/4	1	1	0											2	1			
11	11	30	30	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	69							2	1			
11	11	61/2	61/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	70							2	1			
11	11	31	31	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	71							2	1			
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	72							2	1			
11	11	30	30	0.0	0	0	Spanner	3/4	2	1	0															
11	11	30	30	0.0	0	0	Spanner	3/4	2	1	0														10	10
11	11	30	30	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	73										10	10
11	11	31	31	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	74										10	10
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	75										10	10
12	12	33	33	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	76							2	1			
12	12	67/2	67/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	77							2	1			
12	12	34	34	0.0	1/4	1/4	Spanner	3/4	1	1	0											2				
12	12	34	34	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	78							2				
12	12	71/2	71/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	79							2				
12	12	33	33	0.0	0	0	Spanner	3/4	2	1	0															
12	12	33	33	0.0	0	0	Spanner	3/4	2	1	0														11	11
12	12	33	33	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	80										11	11
12	12	34	34	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	81										11	11
12	12	35	35	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	82										11	11
13	13	36	36	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	83							2				
13	13	73/2	73/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	84							2				
13	13	37	37	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	85							2				
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	86							2				
13	13	38	38	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	87							2				
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	88							2				
13	13	36	36	0.0	0	0	Spanner	3/4	2	1	0															
13	13	36	36	0.0	0	0	Spanner	3/4	2	1	0														12	12
13	13	36	36	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	89										12	12
13	13	37	37	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	90										12	12
13	13	38	38	0.0	1/2	1/2	Spanner	3/4	2	1	0															
14	14	39	39	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	91							2				
14	14	79/2	79/2	0.0	1/8	1/8	Chord	3/4	1	1	0	acciaccatura	1/8	1	92							2				
14	14	79/2	79/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	93							2				
14	14	40	40	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	94							2				
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	95							2				
14	14	41	41	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	96							2				
14	14	83/2	83/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	97							2				
14	14	39	39	0.0	0	0	Spanner	3/4	2	1	0														13	13
14	14	39	39	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	98										13	13
14	14	40	40	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	99										13	13
14	14	41	41	0.0	1/2	1/2	Spanner	3/4	2	1	0															
15	15	42	42	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	100							2				
15	15	85/2	85/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	101							2				
15	15	43	43	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	102							2				
15	15	87/2	87/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	103							2				
15	15	44	44	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	104							2				
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	105							2				
15	15	42	42	0.0	0	0	Spanner	3/4	2	1	0														14	14
15	15	42	42	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	106										14	14
15	15	43	43	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	107										14	14
15	15	44	44	0.0	1/2	1/2	Spanner	3/4	2	1	0															
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	108											
16	16	45	45	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	109							2				
16	16	91/2	91/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	110											
16	16	46	46	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	111											
16	16	45	45	0.0	0	0	Spanner	3/4	2	1	0														15	15
16	16	45	45	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	112										15	15
16	16	46	46	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	113										15	15
16	16	47	47	0.0	1/2	1/2	Spanner	3/4	2	1	0															
16	16	47	47	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	114											
17	17	48	48	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	115							3				
17	17	50	50	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	116							3				
17	17	49	49	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	117											
17	17	50	50	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	118											
17	17	49	49	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	119											
17	17	50	50	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	120											
18	18	51	51	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	121		ornamentShortTrill					3				
18	18	103/2	103/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	122							3				
18	18	52	52	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	123							3				
18	18	53	53	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	124											
18	18	52	52	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	125											
18	18	53	53	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	126											
18	18	52	52	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	127											
18	18	53	53	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	128		articAccentAbove									
19	19	54	54	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	129							4				
19	19	56	56	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	130							4				
19	19	55	55	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	131											
19	19	56	56	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	132											
19	19	55	55	0.0	1/4	1/4	Spanner	3/4	2	1	0														16	16
19	19	55	55	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	133										16	16
19	19	56	56	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	134										16	16
20	20	57	57	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	135		ornamentShortTrill					4				
20	20	231/4	231/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	136							4				
20	20	58	58	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	137											
20	20	59	59	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	138		articAccentBelow									
20	20	57	57	0.0	0	0	Spanner	3/4	2	1	0															
20	20	58	58	0.0	1/4	1/4	Spanner	3/4	2	1	0														17	17
20	20	58	58	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	139										17	17
20	20	59	59	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	140										17	17
21	21	60	60	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	141							5				
21	21	62	62	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	142							5				
21	21	60	60	0.0	0	0	Spanner	3/4	2	1	0															
21	21	61	61	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	143											
21	21	62	62	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	144											
21	21	61	61	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	145											
21	21	62	62	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	146											
22	22	63	63	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	147		ornamentShortTrill					5				
22	22	127/2	127/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	148							5				
22	22	64	64	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	149											
22	22	65	65	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	150											
22	22	64	64	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	151											
22	22	65	65	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	152											
22	22	64	64	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	153							6				
22	22	129/2	129/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	154											
22	22	65	65	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	155											
23	23	66	66	0.0	0	0	Spanner	3/4	1	1	0													3		
23	23	66	66	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	156							7		3		
23	23	68	68	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	157									3		
23	23	66	66	1.5	0	0	Chord	3/4	1	2	3/8		1/4	3/2	158									3		
23	23	135/2	135/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	159									3		
23	23	68	68	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	160									3		
23	23	67	67	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	161											
23	23	68	68	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	162											
24	24	69	69	0.0	0	0	Spanner	3/4	1	1	0															
24	24	69	69	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	163							8				
24	24	71	71	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	164											
24	24	69	69	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	165											
24	24	139/2	139/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	166											
24	24	70	70	0.0	1/4	1/4	Spanner	3/4	1	2	0												2			
24	24	70	70	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	167								2			
24	24	141/2	141/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	168								2			
24	24	71	71	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	169								2			
24	24	70	70	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	170											
24	24	71	71	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	171											
25	25	72	72	0.0	0	0	StaffText	3/4	1	1	0							riten.								
25	25	72	72	0.0	0	0	StaffText	3/4	1	1	0							m.d.								
25	25	72	72	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	172							9				
25	25	74	74	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	173							9				
25	25	72	72	0.0	0	0	Spanner	3/4	1	2	0															
25	25	74	74	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	174											
25	25	72	72	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	175							10				
25	25	145/2	145/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	176							10				
25	25	73	73	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	177							10				
25	25	147/2	147/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	178							10				
25	25	74	74	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	179		articAccentBelow									
26	26	75	75	0.0	0	0	StaffText	3/4	1	1	0							a tempo.				9				
26	26	75	75	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	180		ornamentShortTrill					9				
26	26	151/2	151/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	181							9				
26	26	76	76	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	182							9				
26	26	77	77	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	183											
26	26	75	75	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	184											
26	26	76	76	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	185											
26	26	77	77	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	186		articAccentBelow									
26	26	76	76	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	187											
26	26	77	77	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	188											
27	27	78	78	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	189							11				
27	27	80	80	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	190							11				
27	27	79	79	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	191											
27	27	80	80	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	192											
27	27	79	79	0.0	1/4	1/4	Spanner	3/4	2	1	0														18	18
27	27	79	79	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	193										18	18
27	27	80	80	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	194										18	18
28	28	81	81	0.0	0	0	Spanner	3/4	1	1	0											11	3			
28	28	81	81	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	195		ornamentShortTrill					11	3			
28	28	327/4	327/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	196							11	3			
28	28	82	82	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	197								3			
28	28	331/4	331/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	198							12	3			
28	28	83	83	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	199								3			
28	28	81	81	0.0	0	0	Spanner	3/4	2	1	0															
28	28	82	82	0.0	1/4	1/4	Spanner	3/4	2	1	0														19	19
28	28	82	82	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	200										19	19
28	28	83	83	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	201										19	19
29	29	84	84	0.0	0	0	Spanner	3/4	1	1	0															
29	29	84	84	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	202							13				
29	29	86	86	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	203							13				
29	29	85	85	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	204											
29	29	86	86	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	205											
29	29	84	84	0.0	0	0	Spanner	3/4	2	1	0															
29	29	85	85	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	206											
29	29	86	86	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	207											
30	30	87	87	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	208		ornamentShortTrill					13				
30	30	351/4	351/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	209							13				
30	30	88	88	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	210							13				
30	30	89	89	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	211											
30	30	88	88	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	212											
30	30	89	89	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	213											
30	30	88	88	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	214											
30	30	89	89	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	215											
31	31	90	90	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	216							14				
31	31	92	92	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	217											
31	31	90	90	1.5	0	0	Chord	3/4	1	2	3/8		1/4	3/2	218											
31	31	183/2	183/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	219											
31	31	92	92	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	220											
31	31	91	91	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	221											
31	31	92	92	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	222											
32	32	93	93	0.0	0	0	Spanner	3/4	1	1	0													4		
32	32	93	93	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	223							15		4		
32	32	187/2	187/2	0.0	1/8	1/8	Spanner	3/4	1	1	0											15				
32	32	95	95	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	224											
32	32	93	93	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	225											
32	32	187/2	187/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	226											
32	32	94	94	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	227											
32	32	189/2	189/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	228											
32	32	95	95	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	229											
32	32	94	94	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	230											
32	32	95	95	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	231											
33	33	96	96	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	232							16				
33	33	98	98	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	233							16				
33	33	96	96	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	234		articAccentBelow									
33	33	193/2	193/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	235											
33	33	97	97	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	236											
33	33	195/2	195/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	237											
33	33	98	98	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	238											
33	33	97	97	0.0	1/4	1/4	Spanner	3/4	2	1	0														20	20
33	33	97	97	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	239										20	20
33	33	98	98	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	240										20	20
