mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0								Allegronontroppo	71.0			1.0					
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0								𝅘𝅥=108	108.0	𝅘𝅥	108.0	1.0					
1	1	0	0	0.0	0	0	StaffText	3/4	1	1	0							sotto voce										
1	1	0	0	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	0									0				
1	1	1	1	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	1									0				
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	2									0				
1	1	0	0	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	3									1				
1	1	1	1	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	4									1				
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	5									1				
2	2	3	3	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	6									0				
2	2	4	4	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	7									0				
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	8									0				
2	2	3	3	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	9									1				
2	2	4	4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	10									1				
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	11									1				
3	3	6	6	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	12									0				
3	3	7	7	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	13									0				
3	3	8	8	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	14									0				
3	3	6	6	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	15									1				
3	3	7	7	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	16									1				
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	17									1				
4	4	9	9	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	18									0				
4	4	10	10	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	19									0				
4	4	11	11	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	20													
4	4	9	9	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	21									1				
4	4	10	10	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	22									1				
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	23													
5	5	12	12	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	24									2				
5	5	25/2	25/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	25									2				
5	5	13	13	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	26									2				
5	5	40/3	40/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	27									2				
5	5	41/3	41/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	28									2				
5	5	14	14	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	29									2				
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	30									2				
5	5	12	12	0.0	0	0	StaffText	3/4	2	1	0							il basso sempre legato										
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	31													
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	32													
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	33													
6	6	15	15	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	34		articStaccatoAbove											
6	6	31/2	31/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	35		articStaccatoAbove											
6	6	16	16	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	36													
6	6	16	16	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	37													
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	38		articAccentAbove							3				
6	6	15	15	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	39													
6	6	16	16	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	40													
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	41													
7	7	18	18	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	42									3				
7	7	37/2	37/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	43									3				
7	7	19	19	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	44									3				
7	7	58/3	58/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	45									3				
7	7	59/3	59/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	46									3				
7	7	20	20	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	47									3				
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	48									3				
7	7	18	18	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	49													
7	7	19	19	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	50													
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	51													
8	8	21	21	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	52		articStaccatoAbove											
8	8	43/2	43/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	53		articStaccatoAbove											
8	8	22	22	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	54													
8	8	22	22	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	55													
8	8	23	23	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	56		articAccentBelow											
8	8	21	21	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	57													
8	8	22	22	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	58													
8	8	23	23	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	59													
9	9	24	24	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	60									4				
9	9	49/2	49/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	61									4				
