mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin	crescendo_line	diminuendo_line	HairPin:3_decresc.
1	1	0	0	0.0	0	0	Dynamic	3/4	1	1	0					p													
1	1	0	0	0.0	0	0	StaffText	3/4	1	1	0							legato											
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0									"(𝅗𝅥.=63)
"	189.0	1.0							
1	1	0	0	0.0	0	0	SystemText	3/4	1	1	0								"<font size=""12""/>Sotto Voce"										
1	1	0	0	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	0														
1	1	1	1	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	1		articAccentAbove												
1	1	0	0	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	2														
1	1	1	1	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	3														
1	1	2	2	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	4														
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	5														
1	1	0	0	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	6														
1	1	1	1	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	7		articAccentBelow												
2	2	3	3	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	8														
2	2	4	4	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	9		articAccentAbove												
2	2	3	3	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	10														
2	2	7/2	7/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	11														
2	2	4	4	1.5	1/4	1/4	Chord	3/4	1	2	3/8		1/4	3/2	12														
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	13														
2	2	3	3	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	14														
2	2	4	4	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	15		articAccentBelow												
3	3	6	6	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	16														
