mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	pedal	crescendo_hairpin
1	1	0	0	0.0	0	0	Dynamic	3/4	1	1	0					f								
1	1	0	0	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	0									
1	1	3/4	3/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	1									
1	1	1	1	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	2									
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	3									
1	1	0	0	0.0	0	0	Spanner	3/4	2	1	0												0	
1	1	0	0	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	4								0	
1	1	3/4	3/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	5								0	
1	1	1	1	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	6								0	
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	7								0	
2	2	3	3	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	8							0		
2	2	15/4	15/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	9							0		
2	2	4	4	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	10									
2	2	3	3	0.0	0	0	Spanner	3/4	2	1	0													
2	2	3	3	0.0	0	0	Spanner	3/4	2	1	0												1	
2	2	3	3	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	11								1	
2	2	15/4	15/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	12								1	
2	2	4	4	0.0	1/4	1/4	Spanner	3/4	2	1	0													
2	2	4	4	0.0	1/4	1/4	Spanner	3/4	2	1	0												2	
2	2	4	4	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	13								2	
2	2	3	3	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	14								2	
3	3	6	6	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	15									
3	3	27/4	27/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	16									
3	3	7	7	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	17									
3	3	8	8	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	18									
3	3	6	6	0.0	0	0	Spanner	3/4	2	1	0													
3	3	6	6	0.0	0	0	Spanner	3/4	2	1	0												3	
3	3	6	6	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	19								3	
3	3	27/4	27/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	20								3	
3	3	7	7	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	21								3	
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	22								3	
4	4	9	9	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	23							1		
4	4	39/4	39/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	24							1		
4	4	10	10	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	25									
4	4	9	9	0.0	0	0	Spanner	3/4	2	1	0													
4	4	9	9	0.0	0	0	Spanner	3/4	2	1	0												4	
4	4	9	9	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	26								4	
4	4	39/4	39/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	27								4	
4	4	10	10	0.0	1/4	1/4	Spanner	3/4	2	1	0													
4	4	10	10	0.0	1/4	1/4	Spanner	3/4	2	1	0												5	
4	4	10	10	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	28								5	
4	4	9	9	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	29								5	
5	5	12	12	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	30									
5	5	51/4	51/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	31									
5	5	13	13	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	32									
5	5	14	14	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	33									
5	5	12	12	0.0	0	0	Spanner	3/4	2	1	0													
5	5	12	12	0.0	0	0	Spanner	3/4	2	1	0												6	
5	5	12	12	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	34								6	
5	5	51/4	51/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	35								6	
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	36								6	
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	37								6	
6	6	15	15	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	38							2		
6	6	63/4	63/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	39							2		
6	6	16	16	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	40							2		
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	41									
6	6	15	15	0.0	0	0	Spanner	3/4	2	1	0													
6	6	15	15	0.0	0	0	Spanner	3/4	2	1	0												7	
6	6	15	15	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	42								7	
6	6	63/4	63/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	43								7	
6	6	16	16	0.0	1/4	1/4	Spanner	3/4	2	1	0													
6	6	16	16	0.0	1/4	1/4	Spanner	3/4	2	1	0												8	
6	6	16	16	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	44								8	
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	45								8	
7	7	18	18	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	46							3		
7	7	75/4	75/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	47							3		
7	7	19	19	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	48							3		
7	7	20	20	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	49									
7	7	18	18	0.0	0	0	Spanner	3/4	2	1	0													
7	7	18	18	0.0	0	0	Spanner	3/4	2	1	0												9	
7	7	18	18	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	50								9	
7	7	75/4	75/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	51								9	
7	7	19	19	0.0	1/4	1/4	Spanner	3/4	2	1	0													
7	7	19	19	0.0	1/4	1/4	Spanner	3/4	2	1	0												10	
7	7	19	19	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	52								10	
7	7	20	20	0.0	1/2	1/2	Spanner	3/4	2	1	0													
7	7	20	20	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	53							4		
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	54									
7	7	18	18	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	55									
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	56									
