mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	slur	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
1	0	0	0	0.0	0	5/8	StaffText	3/4	1	1	0							Allegro non troppo  = 160						
1	0	0	0	0.5	0	5/8	Chord	3/4	1	1	1/8		1/8	1	0					0				
2	1	1/2	1/2	0.0	0	0	Dynamic	3/4	1	1	0					f				0				
2	1	1/2	1/2	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	1					0				
2	1	5/4	5/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	2					0				
2	1	3/2	3/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	3					0				
2	1	5/2	5/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	4					0				
2	1	1/2	1/2	0.0	0	0	Spanner	3/4	2	1	0												0	0
2	1	1/2	1/2	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	5								0	0
2	1	5/4	5/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	6								0	0
2	1	3/2	3/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	7								0	0
2	1	5/2	5/2	0.0	1/2	1/2	Spanner	3/4	2	1	0													
2	1	5/2	5/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	8		articAccentAbove							
3	2	7/2	7/2	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	9		articStaccatoAbove							
3	2	9/2	9/2	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	10									
3	2	11/2	11/2	0.0	1/2	1/2	Dynamic	3/4	1	1	0					p								
3	2	9/2	9/2	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	11									
3	2	11/2	11/2	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	12									
3	2	7/2	7/2	0.0	0	0	Spanner	3/4	2	1	0												1	1
