mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	system_text	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_line	diminuendo_line	decrescendo_hairpin	crescendo_hairpin	Ottava:8va
1	1	0	0	0.0	0	0	Dynamic	3/4	1	1	0					p										
1	1	0	0	0.0	0	0	SystemText	3/4	1	1	0							Animato								
1	1	0	0	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	0				0							
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	1											
1	1	1	1	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	2		articAccentAbove									
1	1	0	0	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	3											
1	1	1	1	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	4											
1	1	0	0	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	5											
1	1	1	1	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	6											
2	2	3	3	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	7				1							
2	2	7/2	7/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	8											
2	2	4	4	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	9		articAccentAbove									
2	2	3	3	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	10											
2	2	4	4	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	11											
2	2	3	3	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	12											
2	2	4	4	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	13											
3	3	6	6	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	14				2							
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	15											
3	3	7	7	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	16		articAccentBelow									
3	3	6	6	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	17											
3	3	7	7	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	18											
3	3	6	6	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	19											
3	3	7	7	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	20											
