mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	crescendo_hairpin	diminuendo_line	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0								Andantino	94.0	1.0						
1	1	0	0	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	0												
1	1	1	1	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	1												
1	1	2	2	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	2												
1	1	11/4	11/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	3												
1	1	0	0	0.0	0	0	Dynamic	3/4	1	2	0					p											
1	1	0	0	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	4							0					
1	1	1	1	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	5							0					
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	6							0					
1	1	0	0	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	7												
1	1	1	1	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	8												
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	9												
2	2	3	3	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	10												
2	2	4	4	0.75	1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	11												
2	2	19/4	19/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	12												
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	13												
2	2	3	3	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	14							0					
2	2	3	3	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	15												
3	3	6	6	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	16							1					
3	3	7	7	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	17							1					
3	3	8	8	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	18							1					
3	3	6	6	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	19												
3	3	7	7	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	20												
3	3	8	8	0.75	1/2	1/2	Chord	3/4	1	2	3/16		1/8	3/2	21												
3	3	35/4	35/4	0.25	11/16	11/16	Chord	3/4	1	2	1/16		1/16	1	22												
3	3	6	6	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	23												
3	3	7	7	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	24												
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	25												
4	4	9	9	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	26							1					
4	4	19/2	19/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	27							1					
4	4	10	10	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	28							1					
4	4	10	10	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	29							1					
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	30							1					
4	4	11	11	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	31												
4	4	9	9	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	32												
4	4	10	10	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	33												
4	4	9	9	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	34												
5	5	12	12	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	35							2					
