mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	diminuendo_line	crescendo_hairpin	decrescendo_hairpin	crescendo_line	pedal	Pedal_<sym>keyboardPedalPed</sym>
1	1	0	0	0.0	0	0	Dynamic	3/4	1	1	0					mf														
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0								Vivace	172.0			1.0							
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0								𝅘𝅥=160	160.0	𝅘𝅥	160.0	1.0							
1	1	0	0	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	0															
1	1	1	1	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	1															
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	2		articAccentBelow							0						
1	1	0	0	0.0	0	0	Spanner	3/4	2	1	0																		0	0
1	1	0	0	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	3														0	0
1	1	1	1	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	4														0	0
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	5														0	0
2	2	3	3	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	6															
2	2	15/4	15/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	7									1						
2	2	4	4	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	8															
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	9		articAccentBelow							2						
2	2	3	3	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	10														0	0
2	2	4	4	0.0	1/4	1/4	Spanner	3/4	2	1	0																			
2	2	4	4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	11															
2	2	5	5	0.0	1/2	1/2	Spanner	3/4	2	1	0																		1	1
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	12														1	1
3	3	6	6	0.0	0	0	Spanner	3/4	1	1	0																	0		
3	3	6	6	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	13													0		
3	3	27/4	27/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	14		ornamentTrill							3				0		
3	3	7	7	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	15													0		
3	3	8	8	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	16		articAccentBelow							4				0		
3	3	6	6	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	17														1	1
3	3	7	7	0.0	1/4	1/4	Spanner	3/4	2	1	0																			
3	3	7	7	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	18															
3	3	8	8	0.0	1/2	1/2	Spanner	3/4	2	1	0																		2	2
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	19														2	2
4	4	9	9	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	20													0		
4	4	39/4	39/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	21		ornamentTrill							5				0		
4	4	10	10	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	22													0		
4	4	11	11	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	23		articAccentBelow											0		
4	4	9	9	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	24														2	2
4	4	10	10	0.0	1/4	1/4	Spanner	3/4	2	1	0																			
4	4	10	10	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	25															
4	4	11	11	0.0	1/2	1/2	Spanner	3/4	2	1	0																		3	3
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	26														3	3
5	5	12	12	0.0	0	0	Dynamic	3/4	1	1	0					f														
5	5	12	12	0.0	0	0	Spanner	3/4	1	1	0																			
5	5	12	12	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	27		articAccentBelow													
5	5	13	13	0.0	1/4	1/4	Dynamic	3/4	1	1	0					p														
5	5	13	13	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	28															
5	5	13	13	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	29															
5	5	13	13	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	30									6						
5	5	27/2	27/2	0.0	3/8	3/8	Spanner	3/4	1	1	0													6		0				
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	31									6		0				
5	5	14	14	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	32									6		0				
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	33											0				
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	34														3	3
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	35														3	3
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	36														3	3
6	6	15	15	0.0	0	0	Spanner	3/4	1	1	0																			
6	6	15	15	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	37															
6	6	15	15	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	38															
6	6	15	15	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	39									7						
