mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin
4	4	9	9	0.0		0	0	Spanner	3/4	2	1	0													
4	4	9	9	0.0		0	0	Spanner	3/4	2	1	0										2	2		
4	4	9	9	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	13		articStaccatoAbove			1	2	2		
4	4	10	10	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	14		articStaccatoAbove			1	2	2		
4	4	11	11	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	15		articStaccatoAbove				2	2		
5	5	12	12	0.0		0	0	Dynamic	3/4	1	1	0					sf								
5	5	12	12	0.0		0	0	Spanner	3/4	1	1	0													
5	5	12	12	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	16		articAccentBelow							
5	5	14	14	0.0		1/2	1/2	Spanner	3/4	1	1	0													1
5	5	14	14	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	17					2				1
5	5	29/2	29/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	18					2				1
5	5	12	12	0.0		0	0	Spanner	3/4	2	1	0													
5	5	12	12	0.0		0	0	Spanner	3/4	2	1	0										3	3		
5	5	12	12	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	19						3	3		
5	5	13	13	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	20						3	3		
5	5	14	14	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	21						3	3		
6	6	15	15	0.0		0	0	Spanner	3/4	1	1	0									2				
6	6	15	15	0.0		0	0	Spanner	3/4	1	1	0									2			0	
6	6	15	15	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	22					2			0	
6	6	46/3	46/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	23					2			0	
6	6	47/3	47/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	24					2			0	
6	6	16	16	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	25		articStaccatoBelow						0	
6	6	17	17	0.0		1/2	1/2	Spanner	3/4	1	1	0													
6	6	17	17	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	26		articStaccatoBelow							
6	6	15	15	0.0		0	0	StaffText	3/4	2	1	0							simile						
6	6	15	15	0.0		0	0	Spanner	3/4	2	1	0													
6	6	15	15	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	27									
6	6	16	16	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	28									
6	6	17	17	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	29									
7	7	18	18	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	30		articAccentBelow							
7	7	20	20	0.0		1/2	1/2	Spanner	3/4	1	1	0													2
7	7	20	20	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	31					3				2
7	7	41/2	41/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	32					3				2
7	7	18	18	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	33									
7	7	19	19	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	34									
7	7	20	20	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	35									
8	8	21	21	0.0		0	0	Spanner	3/4	1	1	0									3				
8	8	21	21	0.0		0	0	Spanner	3/4	1	1	0									3			1	
8	8	21	21	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	36					3			1	
8	8	64/3	64/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	37					3			1	
8	8	65/3	65/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	38					3			1	
8	8	22	22	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	39		articStaccatoAbove						1	
8	8	23	23	0.0		1/2	1/2	Spanner	3/4	1	1	0													
8	8	23	23	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	40					4				
8	8	21	21	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	41									
8	8	22	22	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	42									
8	8	23	23	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	43		articAccentAbove							
9	9	24	24	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	44									
9	9	51/2	51/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	45					5				
9	9	26	26	0.75		1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	46					5				
9	9	107/4	107/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	47					5				
9	9	24	24	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	48									
9	9	25	25	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	49									
9	9	26	26	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	50									
10	10	27	27	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	51					5				
10	10	82/3	82/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	52					5				
10	10	83/3	83/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	53					5				
10	10	28	28	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	54		articStaccatoAbove							
10	10	29	29	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	55					6				
10	10	27	27	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	56									
10	10	28	28	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	57									
10	10	29	29	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	58		articAccentAbove							
11	11	30	30	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	59									
11	11	63/2	63/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	60					7				
11	11	32	32	0.75		1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	61					7				
11	11	131/4	131/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	62					7				
11	11	30	30	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	63									
11	11	31	31	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	64									
11	11	32	32	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	65									
12	12		33	1.0	1	0	0	Chord	3/4	1	1	1/4		1/4	1	66									
12	12		34	0.0	1	1/4	1/4	Dynamic	3/4	1	1	0					sf								
12	12		34	1.0	1	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	67									
12	12		33	1.0	1	0	0	Chord	3/4	2	1	1/4		1/4	1	68									
12	12		34	1.0	1	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	69									
13	12		35	1.0	1	0	0	Chord	3/4	1	1	1/4		1/4	1	70									
14	12	33	36	1.0	2	0	0	Chord	3/4	1	1	1/4		1/4	1	71									
14	12	34	37	0.0	2	1/4	1/4	Dynamic	3/4	1	1	0					sf								
14	12	34	37	1.0	2	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	72									
14	12	35	38	0.5	2	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	73					8				
14	12	71/2	77/2	0.5	2	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	74									
14	12	33	36	1.0	2	0	0	Chord	3/4	2	1	1/4		1/4	1	75									
14	12	34	37	1.0	2	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	76									
15	13	36	39	0.0		0	0	Dynamic	3/4	1	1	0					p								
15	13	36	39	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	77		articStaccatoAbove							
15	13	73/2	79/2	0.0		1/8	1/8	Spanner	3/4	1	1	0													3
15	13	73/2	79/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	78		articStaccatoAbove							3
15	13	37	40	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	79		articStaccatoAbove							3
15	13	38	41	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	80		articStaccatoAbove							3
15	13	77/2	83/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	81		articStaccatoAbove							3
15	13	36	39	0.0		0	0	Spanner	3/4	2	1	0										4	4		
15	13	36	39	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	82						4	4		
15	13	37	40	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	83						4	4		
15	13	38	41	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	84						4	4		
16	14	39	42	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	85		articStaccatoAbove							3
16	14	79/2	85/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	86		articStaccatoAbove							3
16	14	40	43	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	87		articStaccatoAbove							3
16	14	41	44	0.0		1/2	1/2	Spanner	3/4	1	1	0													
16	14	41	44	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	88		articStaccatoAbove							
16	14	39	42	0.0		0	0	StaffText	3/4	2	1	0							simile						
16	14	39	42	0.0		0	0	Spanner	3/4	2	1	0													
16	14	39	42	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	89									
16	14	40	43	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	90									
16	14	41	44	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	91									
17	15	42	45	0.0		0	0	StaffText	3/4	1	1	0							decresc.						
17	15	42	45	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	92									
17	15	85/2	91/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	93									
17	15	43	46	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	94									
17	15	44	47	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	95									
17	15	89/2	95/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	96									
17	15	42	45	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	97									
17	15	43	46	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	98									
17	15	44	47	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	99									
18	16	45	48	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	100									
18	16	183/4	195/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	101									
18	16	46	49	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	102									
18	16	47	50	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	103									
18	16	45	48	0.0		0	0	Spanner	3/4	2	1	0										5	5		
18	16	45	48	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	104						5	5		
18	16	46	49	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	105						5	5		
18	16	47	50	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	106						5	5		
19	17	48	51	0.0		0	0	Dynamic	3/4	1	1	0					f								
19	17	48	51	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	107		articAccentBelow							
19	17	50	53	0.0		1/2	1/2	Spanner	3/4	1	1	0													4
19	17	50	53	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	108					9				4
19	17	101/2	107/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	109					9				4
19	17	48	51	0.0		0	0	Spanner	3/4	2	1	0													
19	17	48	51	0.0		0	0	Spanner	3/4	2	1	0										6	6		
19	17	48	51	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	110						6	6		
19	17	49	52	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	111						6	6		
19	17	50	53	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	112						6	6		
20	18	51	54	0.0		0	0	Spanner	3/4	1	1	0									9				
20	18	51	54	0.0		0	0	Spanner	3/4	1	1	0									9			2	
20	18	51	54	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	113					9			2	
20	18	154/3	163/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	114					9			2	
20	18	155/3	164/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	115					9			2	
20	18	52	55	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	116		articStaccatoBelow						2	
20	18	53	56	0.0		1/2	1/2	Spanner	3/4	1	1	0													
20	18	53	56	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	117		articStaccatoBelow							
20	18	51	54	0.0		0	0	StaffText	3/4	2	1	0							simile						
20	18	51	54	0.0		0	0	Spanner	3/4	2	1	0													
20	18	51	54	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	118									
20	18	52	55	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	119									
20	18	53	56	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	120									
21	19	54	57	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	121		articAccentBelow							
21	19	56	59	0.0		1/2	1/2	Spanner	3/4	1	1	0													5
21	19	56	59	0.75		1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	122					10				5
21	19	227/4	239/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	123					10				5
21	19	54	57	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	124									
21	19	55	58	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	125									
21	19	56	59	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	126									
22	20	57	60	0.0		0	0	Spanner	3/4	1	1	0									10				
22	20	57	60	0.0		0	0	Spanner	3/4	1	1	0									10			3	
22	20	57	60	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	127					10			3	
22	20	172/3	181/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	128					10			3	
22	20	173/3	182/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	129					10			3	
22	20	58	61	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	130		articStaccatoAbove						3	
22	20	59	62	0.0		1/2	1/2	Spanner	3/4	1	1	0													
22	20	59	62	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	131					11				
22	20	57	60	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	132									
22	20	58	61	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	133									
22	20	59	62	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	134		articAccentAbove							
23	21	60	63	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	135									
23	21	123/2	129/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	136					12				
23	21	62	65	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	137					12				
23	21	125/2	131/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	138					12				
23	21	60	63	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	139									
23	21	61	64	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	140									
23	21	62	65	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	141									
24	22	63	66	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	142					12				
24	22	190/3	199/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	143					12				
24	22	191/3	200/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	144					12				
24	22	64	67	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	145		articStaccatoAbove							
24	22	65	68	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	146					13				
24	22	63	66	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	147									
24	22	64	67	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	148									
24	22	65	68	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	149		articAccentAbove							
25	23	66	69	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	150									
25	23	135/2	141/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	151					14				
25	23	68	71	0.75		1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	152					14				
25	23	275/4	287/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	153					14				
25	23	66	69	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	154									
25	23	67	70	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	155									
25	23	68	71	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	156									
26	24		72	1.0	1	0	0	Chord	3/4	1	1	1/4		1/4	1	157									
26	24		73	0.0	1	1/4	1/4	Dynamic	3/4	1	1	0					sf								
26	24		73	1.0	1	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	158									
26	24		74	1.0	1	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	159									
26	24		72	1.0	1	0	0	Chord	3/4	2	1	1/4		1/4	1	160									
26	24		73	1.0	1	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	161									
27	24	69	75	1.0	2	0	0	Chord	3/4	1	1	1/4		1/4	1	162									
27	24	70	76	0.0	2	1/4	1/4	Dynamic	3/4	1	1	0					sf								
27	24	70	76	1.0	2	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	163									
27	24	69	75	1.0	2	0	0	Chord	3/4	2	1	1/4		1/4	1	164									
27	24	70	76	1.0	2	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	165									
28	24	71	77	0.0		0	1/2	SystemText	3/4	1	1	0								Trio					
28	24	71	77	1.0		0	1/2	Chord	3/4	1	1	1/4		1/4	1	166					15				
29	25	72	78	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	167									
29	25	291/4	315/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	168					16				
29	25	73	79	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	169					16				
29	25	74	80	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	170					16				
29	25	149/2	161/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	171					16				
29	25	72	78	0.0		0	0	Dynamic	3/4	2	1	0					mf								
29	25	72	78	0.0		0	0	Spanner	3/4	2	1	0										7	7		
29	25	72	78	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	172						7	7		
29	25	73	79	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	173						7	7		
29	25	74	80	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	174						7	7		
30	26	75	81	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	175		ornamentShortTrill							
30	26	303/4	327/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	176					17				
30	26	76	82	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	177									
30	26	77	83	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	178		articStaccatoAbove							
30	26	75	81	0.0		0	0	Spanner	3/4	2	1	0													
30	26	75	81	0.0		0	0	Spanner	3/4	2	1	0										8	8		
30	26	75	81	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	179						8	8		
30	26	76	82	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	180						8	8		
30	26	77	83	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	181						8	8		
31	27	78	84	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	182									
31	27	78	84	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	183									
31	27	315/4	339/4	0.0		3/16	3/16	Spanner	3/4	1	1	0													6
31	27	315/4	339/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	184					18				6
31	27	79	85	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	185					18				6
31	27	80	86	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	186					18				6
31	27	161/2	173/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	187					18				6
31	27	78	84	0.0		0	0	Spanner	3/4	2	1	0													
31	27	78	84	0.0		0	0	Spanner	3/4	2	1	0										9	9		
31	27	78	84	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	188						9	9		
31	27	79	85	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	189						9	9		
31	27	80	86	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	190						9	9		
32	28	81	87	0.0		0	0	Spanner	3/4	1	1	0									18				
32	28	81	87	0.0		0	0	Spanner	3/4	1	1	0									18			4	
32	28	81	87	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	191		ornamentShortTrill			18			4	
32	28	327/4	351/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	192					18			4	
32	28	82	88	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	193					18			4	
32	28	83	89	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	194								4	
32	28	81	87	0.0		0	0	Spanner	3/4	2	1	0													
32	28	81	87	0.0		0	0	Spanner	3/4	2	1	0										10	10		
32	28	81	87	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	195						10	10		
32	28	82	88	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	196						10	10		
32	28	83	89	0.0		1/2	1/2	Spanner	3/4	2	1	0													
32	28	83	89	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	197									
33	29	84	90	0.0		0	0	Dynamic	3/4	1	1	0					p								
33	29	84	90	0.0		0	0	Spanner	3/4	1	1	0													
33	29	84	90	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	198		articStaccatoAbove							
33	29	169/2	181/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	199		articStaccatoAbove							
33	29	85	91	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	200		articStaccatoAbove							
33	29	86	92	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	201		articStaccatoAbove							
33	29	173/2	185/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	202		articStaccatoAbove							
33	29	84	90	0.0		0	0	Spanner	3/4	2	1	0										11	11		
33	29	84	90	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	203						11	11		
33	29	85	91	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	204						11	11		
33	29	86	92	0.0		1/2	1/2	Spanner	3/4	2	1	0													
33	29	86	92	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	205									
34	30	87	93	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	206		articStaccatoAbove							
34	30	175/2	187/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	207		articStaccatoAbove							
34	30	88	94	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	208		articStaccatoAbove							
34	30	89	95	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	209		articStaccatoAbove							
34	30	87	93	0.0		0	0	Spanner	3/4	2	1	0										12	12		
34	30	87	93	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	210						12	12		
34	30	88	94	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	211						12	12		
34	30	89	95	0.0		1/2	1/2	Spanner	3/4	2	1	0													
34	30	89	95	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	212									
35	31	90	96	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	213		articStaccatoAbove							
35	31	181/2	193/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	214		articStaccatoAbove							
35	31	91	97	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	215		articStaccatoAbove							
35	31	92	98	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	216		articStaccatoAbove							
35	31	185/2	197/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	217		articStaccatoAbove							
35	31	90	96	0.0		0	0	Spanner	3/4	2	1	0										13	13		
35	31	90	96	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	218						13	13		
35	31	91	97	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	219						13	13		
35	31	92	98	0.0		1/2	1/2	Spanner	3/4	2	1	0													
35	31	92	98	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	220									
36	32	93	99	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	221		articStaccatoAbove							
36	32	375/4	399/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	222					19				
36	32	94	100	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	223									
36	32	95	101	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	224									
36	32	93	99	0.0		0	0	Spanner	3/4	2	1	0										14	14		
36	32	93	99	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	225						14	14		
36	32	94	100	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	226						14	14		
36	32	95	101	0.0		1/2	1/2	Spanner	3/4	2	1	0													
