mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	36	[		
6	6	16	16	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	37			
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	38			
7	7	18	18	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	39			
7	7	19	19	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	40			
7	7	39/2	39/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	41			
7	7	20	20	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	42			
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	43			
7	7	19	19	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	44			
7	7	20	20	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	45			
7	7	19	19	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	46			
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	47			
8	8	21	21	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	48	<		
8	8	43/2	43/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	49	(		
8	8	22	22	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	50	(		
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	51	(		
8	8	23	23	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	52	(		
8	8	47/2	47/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	53	[		
8	8	22	22	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	54			
8	8	23	23	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	55			
9	9	24	24	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	56			
9	9	25	25	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	57			
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	58			
9	9	26	26	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	59			
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	60			
9	9	25	25	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	61			
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	62			
10	10	27	27	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	63			
10	10	55/2	55/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	64			
10	10	28	28	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	65			
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	66			
10	10	29	29	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	67			
10	10	59/2	59/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	68			
10	10	28	28	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	69			
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	70			
11	11	30	30	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	71			
11	11	31	31	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	72			
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	73			
11	11	32	32	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	74			
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	75			
11	11	31	31	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	76			
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	77			
12	12	33	33	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	78			
12	12	67/2	67/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	79			
12	12	34	34	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	80			
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	81			
12	12	35	35	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	82			
12	12	71/2	71/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	83			
12	12	34	34	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	84			
12	12	35	35	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	85			
13	13	36	36	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	86			
13	13	37	37	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	87			
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	88			
13	13	38	38	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	89			
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	90			
13	13	37	37	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	91			
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	92			
14	14	39	39	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	93			
14	14	40	40	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	94			
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	95			
14	14	41	41	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	96			
14	14	83/2	83/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	97			
14	14	40	40	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	98			
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	99			
15	15	42	42	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	100			
15	15	85/2	85/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	101			
15	15	43	43	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	102			
15	15	87/2	87/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	103			
15	15	44	44	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	104			
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	105			
15	15	42	42	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	106			
15	15	43	43	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	107			
16	16	45	45	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	108	>		
16	16	91/2	91/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	109	)		
16	16	46	46	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	110	)		
16	16	93/2	93/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	111	)		
16	16	47	47	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	112	)		
16	16	95/2	95/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	113	]		
16	16	45	45	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	114			
16	16	46	46	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	115			
16	16	47	47	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	116			
17	17	48	48	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	117	<		
17	17	97/2	97/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	118	(		
17	17	49	49	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	119	(		
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	120	(		
17	17	50	50	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	121	(		
17	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	122	[		
17	17	48	48	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	123			
17	17	49	49	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	124			
17	17	50	50	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	125			
18	18	51	51	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	126	>		
18	18	103/2	103/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	127	)		
18	18	52	52	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	128	)		
18	18	105/2	105/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	129	)		
18	18	53	53	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	130	)		
18	18	107/2	107/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	131	]		
18	18	51	51	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	132			
18	18	52	52	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	133			
18	18	53	53	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	134			
19	19	54	54	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	135			
19	19	55	55	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	136	<		
19	19	111/2	111/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	137	(		
19	19	56	56	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	138	(		
19	19	113/2	113/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	139	[		
19	19	54	54	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	140			
19	19	56	56	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	141			
20	20	57	57	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	142	>		
20	20	115/2	115/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	143	)		
20	20	58	58	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	144	)		
20	20	117/2	117/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	145	)		
20	20	59	59	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	146	)		
20	20	119/2	119/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	147	]		
20	20	57	57	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	148			
20	20	58	58	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	149			
20	20	59	59	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	150			
21	21	60	60	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	151	<		
21	21	121/2	121/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	152	(		
21	21	61	61	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	153	(		
21	21	123/2	123/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	154	(		
21	21	62	62	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	155	(		
21	21	125/2	125/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	156	[		
21	21	60	60	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	157			
21	21	61	61	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	158			
22	22	63	63	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	159	>		
22	22	127/2	127/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	160	)		
22	22	64	64	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	161	)		
22	22	129/2	129/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	162	)		
22	22	65	65	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	163	)		
22	22	131/2	131/2	0.0	5/8	5/8	Chord	3/4	1	1	0	acciaccatura	1/8	1	164			
22	22	131/2	131/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	165	]		
22	22	64	64	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	166			
22	22	65	65	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	167			
23	23	66	66	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	168			
23	23	133/2	133/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	169			
23	23	67	67	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	170			
23	23	66	66	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	171			
23	23	67	67	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	172			
23	23	68	68	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	173			
24	24	69	69	0.0	0	0	Dynamic	3/4	1	1	0						mf	
24	24	69	69	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	174			
24	24	71	71	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	175			
24	24	143/2	143/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	176			
24	24	69	69	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	177			
24	24	70	70	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	178			
24	24	71	71	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	179			
25	25	72	72	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	180			
25	25	145/2	145/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	181			
25	25	73	73	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	182			
25	25	147/2	147/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	183			
25	25	74	74	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	184			
25	25	149/2	149/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	185			
25	25	72	72	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	186			
25	25	73	73	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	187			
25	25	74	74	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	188			
26	26	75	75	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	189			
26	26	76	76	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	190			
26	26	153/2	153/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	191			
26	26	77	77	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	192			
26	26	155/2	155/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	193			
26	26	75	75	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	194			
26	26	76	76	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	195			
26	26	77	77	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	196			
27	27	78	78	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	197			
27	27	80	80	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	198			
27	27	78	78	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	199			
27	27	79	79	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	200			
27	27	80	80	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	201			
28	28	81	81	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	202			articAccentAbove
28	28	83	83	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	203			
28	28	167/2	167/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	204			
28	28	81	81	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	205			
28	28	82	82	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	206			
28	28	83	83	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	207			
29	29	84	84	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	208			
29	29	85	85	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	209	<		
29	29	171/2	171/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	210	(		
29	29	86	86	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	211	(		
29	29	173/2	173/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	212	[		
29	29	84	84	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	213			
29	29	85	85	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	214			
29	29	86	86	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	215			
30	30	89	89	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	216			
30	30	179/2	179/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	217			
30	30	87	87	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	218	<		
30	30	88	88	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	219	(		
30	30	177/2	177/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	220	[		
30	30	89	89	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	221			
30	30	87	87	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	222			
30	30	88	88	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	223			
30	30	89	89	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	224			
31	31	90	90	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	225			
31	31	90	90	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	226			
31	31	181/2	181/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	227			
31	31	91	91	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	228			
31	31	183/2	183/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	229			
31	31	92	92	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	230			
31	31	185/2	185/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	231			
31	31	90	90	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	232			
32	32	93	93	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	233			
32	32	94	94	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	234			
32	32	189/2	189/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	235			
32	32	95	95	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	236			
32	32	191/2	191/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	237			
32	32	93	93	0.0	0	0	Dynamic	3/4	1	2	0						pp	
32	32	93	93	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	238			
32	32	94	94	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	239			
32	32	95	95	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	240			
32	32	94	94	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	241			
32	32	95	95	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	242			
33	33	96	96	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	243			
33	33	97	97	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	244			
33	33	96	96	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	245			
33	33	97	97	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	246			
33	33	195/2	195/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	247			
33	33	98	98	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	248			
33	33	197/2	197/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	249			
33	33	97	97	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	250			
33	33	195/2	195/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	251			
33	33	98	98	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	252			
33	33	197/2	197/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	253			
33	33	97	97	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	254			
33	33	98	98	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	255			
34	34	99	99	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	256			
34	34	100	100	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	257			
34	34	201/2	201/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	258			
34	34	101	101	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	259			
34	34	203/2	203/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	260			
34	34	99	99	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	261			
34	34	100	100	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	262			
34	34	101	101	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	263			
34	34	99	99	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	264			
34	34	100	100	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	265			
34	34	101	101	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	266			
35	35	102	102	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	267			
35	35	103	103	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	268			
35	35	102	102	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	269			
35	35	103	103	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	270			
35	35	207/2	207/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	271			
35	35	104	104	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	272			
35	35	209/2	209/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	273			
35	35	102	102	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	274			
35	35	103	103	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	275			
35	35	207/2	207/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	276			
35	35	104	104	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	277			
35	35	209/2	209/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	278			
35	35	103	103	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	279			
35	35	104	104	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	280			
36	36	105	105	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	281			
36	36	106	106	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	282			
36	36	213/2	213/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	283			
36	36	107	107	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	284			
36	36	215/2	215/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	285			
36	36	105	105	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	286			
36	36	106	106	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	287			
36	36	107	107	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	288			
36	36	105	105	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	289			
36	36	106	106	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	290			
36	36	107	107	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	291			
37	37	108	108	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	292			
37	37	109	109	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	293			
37	37	108	108	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	294			
37	37	109	109	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	295	>		
37	37	219/2	219/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	296	]		
37	37	110	110	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	297			
37	37	109	109	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	298			
37	37	110	110	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	299			
