mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	crescendo_line	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>	Trill:trill	Ottava:8va
1	0	0	0	0.0	0	1/2	Dynamic	3/4	1	1	0					p												
1	0	0	0	0.0	0	1/2	Tempo	3/4	1	1	0								Allegretto	116.0	1.0							
1	0	0	0	1.0	0	1/2	Chord	3/4	1	1	1/4		1/4	1	0		articAccentAbove											
2	1	1	1	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	1							0						
2	1	2	2	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	2							1						
2	1	5/2	5/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	3							1						
2	1	3	3	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	4							1						
2	1	7/2	7/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	5							1						
3	2	4	4	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	6							0						
3	2	4	4	0.3333333333333333	0	0	Chord	3/4	2	1	1/12		1/8	2/3	7							1						
3	2	13/3	13/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	8							1						
3	2	14/3	14/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	9							1						
3	2	5	5	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	10							1						
3	2	11/2	11/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	11							1						
3	2	6	6	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	12													
4	3	7	7	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	13													
4	3	7	7	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	14													
4	3	8	8	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	15							2						
4	3	17/2	17/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	16							2						
4	3	9	9	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	17							2						
4	3	19/2	19/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	18							2						
5	4	11	11	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	19		articStaccatoAbove					3						
5	4	12	12	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	20		articStaccatoAbove											
5	4	10	10	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	21													
5	4	11	11	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	22													
5	4	12	12	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	23													
6	5	13	13	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	24							4						
6	5	14	14	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	25							5						
6	5	29/2	29/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	26							5						
6	5	15	15	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	27							5						
6	5	31/2	31/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	28							5						
6	5	13	13	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	29													
7	6	16	16	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	30							4						
7	6	16	16	0.3333333333333333	0	0	Chord	3/4	2	1	1/12		1/8	2/3	31							5						
7	6	49/3	49/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	32							5						
7	6	50/3	50/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	33							5						
7	6	17	17	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	34							5						
7	6	35/2	35/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	35							5						
7	6	18	18	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	36													
8	7	19	19	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	37													
8	7	19	19	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	38							6						
8	7	20	20	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	39							6						
8	7	41/2	41/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	40							6						
8	7	21	21	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	41							6						
8	7	43/2	43/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	42							6						
9	8	23	23	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	43		articStaccatoAbove					7						
9	8	24	24	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	44		articStaccatoAbove											
9	8	22	22	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	45													
9	8	23	23	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	46													
9	8	24	24	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	47													
10	9	25	25	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	48							8						
10	9	27	27	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	49							8						
10	9	82/3	82/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	50							8						
10	9	83/3	83/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	51							8						
10	9	25	25	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	52													
10	9	26	26	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	53							9						
10	9	53/2	53/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	54							9						
10	9	27	27	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	55													
10	9	25	25	0.0	0	0	Spanner	3/4	2	1	0														0	0		
10	9	25	25	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	56										0	0		
10	9	27	27	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	57										0	0		
11	10	28	28	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	58							8						
11	10	59/2	59/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	59							8						
11	10	30	30	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	60							8						
11	10	57/2	57/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	61													
11	10	29	29	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	62													
11	10	30	30	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	63													
11	10	57/2	57/2	1.5	1/8	1/8	Chord	3/4	1	3	3/8		1/4	3/2	64													
11	10	29	29	1.0	1/4	1/4	Chord	3/4	1	4	1/4		1/4	1	65													
11	10	28	28	0.0	0	0	Spanner	3/4	2	1	0																	
11	10	28	28	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	66													
11	10	30	30	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	67													
12	11	31	31	0.0	0	0	Dynamic	3/4	1	1	0					fz												
12	11	31	31	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	68													
12	11	32	32	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	69							10						
12	11	65/2	65/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	70							10						
12	11	33	33	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	71							10						
12	11	100/3	100/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	72							10						
12	11	101/3	101/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	73							10						
12	11	32	32	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	74													
12	11	33	33	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	75													
12	11	65/2	65/2	1.5	3/8	3/8	Chord	3/4	1	3	3/8		1/4	3/2	76													
12	11	31	31	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	77													
12	11	33	33	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	78													
13	12	34	34	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	79							10						
13	12	71/2	71/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	80							10						
13	12	36	36	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	81		articAccentBelow					10						
13	12	34	34	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	82													
13	12	69/2	69/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	83													
13	12	35	35	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	84													
13	12	69/2	69/2	1.5	1/8	1/8	Chord	3/4	1	3	3/8		1/4	3/2	85													
13	12	35	35	1.0	1/4	1/4	Chord	3/4	1	4	1/4		1/4	1	86													
13	12	34	34	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	87													
13	12	36	36	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	88													
14	13	37	37	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	89													
14	13	38	38	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	90							11						
14	13	77/2	77/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	91							11						
14	13	39	39	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	92							11						
14	13	118/3	118/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	93							11						
14	13	119/3	119/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	94							11						
14	13	38	38	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	95													
14	13	77/2	77/2	0.75	3/8	3/8	Chord	3/4	1	3	3/16		1/8	3/2	96													
14	13	37	37	0.0	0	0	Spanner	3/4	2	1	0														1	1		
14	13	37	37	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	97										1	1		
14	13	39	39	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
14	13	39	39	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	98													
15	14	40	40	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	99							11						
15	14	83/2	83/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	100							11						
15	14	42	42	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	101							11						
15	14	81/2	81/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	102													
15	14	41	41	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	103													
15	14	81/2	81/2	1.5	1/8	1/8	Chord	3/4	1	3	3/8		1/4	3/2	104													
15	14	41	41	1.0	1/4	1/4	Chord	3/4	1	4	1/4		1/4	1	105													
15	14	40	40	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	106													
15	14	42	42	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	107													
16	15	43	43	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	108													
16	15	44	44	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	109							12						
16	15	89/2	89/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	110							12						
16	15	45	45	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	111							12						
16	15	136/3	136/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	112							12						
16	15	137/3	137/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	113							12						
16	15	44	44	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	114													
16	15	45	45	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	115													
16	15	89/2	89/2	1.5	3/8	3/8	Chord	3/4	1	3	3/8		1/4	3/2	116													
16	15	43	43	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	117													
16	15	45	45	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	118													
17	16	46	46	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	119							12						
17	16	95/2	95/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	120							12						
17	16	48	48	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	121							12						
17	16	46	46	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	122													
17	16	93/2	93/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	123													
17	16	47	47	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	124													
17	16	48	48	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	125													
17	16	93/2	93/2	1.5	1/8	1/8	Chord	3/4	1	3	3/8		1/4	3/2	126													
17	16	47	47	1.0	1/4	1/4	Chord	3/4	1	4	1/4		1/4	1	127													
17	16	46	46	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	128													
