mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	diminuendo_line	crescendo_line	HairPin:2_poco riten.	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
1	0	0	0	0.0	0	1/2	Tempo	3/4	1	1	0								Allegrettonontanto	108.0	1.0								
1	0	0	0	0.0	0	1/2	Dynamic	3/4	1	1	0					p													
1	0	0	0	1.0	0	1/2	Chord	3/4	1	1	1/4		1/4	1	0		articAccentAbove					0							
2	1	1	1	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	1							0							
2	1	3/2	3/2	0.0	1/8	1/8	Chord	3/4	1	1	0	acciaccatura	1/8	1	2							0							
2	1	3/2	3/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	3							0							
2	1	2	2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	4							0							
2	1	5/2	5/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	5							0							
2	1	3	3	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	6							0							
2	1	7/2	7/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	7							0							
2	1	2	2	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	8														
2	1	3	3	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	9														
2	1	2	2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	10														
2	1	3	3	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	11														
3	2	4	4	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	12							0							
3	2	4	4	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	13							0							
3	2	9/2	9/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	14							0							
3	2	5	5	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	15														
3	2	5	5	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	16		articStaccatoBelow												
3	2	6	6	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	17		articStaccatoBelow												
3	2	5	5	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	18		articStaccatoAbove												
3	2	6	6	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	19		articStaccatoAbove												
4	3	7	7	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	20							1							
4	3	15/2	15/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	21							1							
4	3	8	8	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	22							1							
4	3	8	8	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	23							1							
4	3	9	9	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	24							1							
4	3	19/2	19/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	25							1							
4	3	8	8	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	26		articStaccatoBelow												
4	3	9	9	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	27		articStaccatoBelow												
4	3	8	8	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	28		articStaccatoAbove												
4	3	9	9	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	29		articStaccatoAbove												
5	4	10	10	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	30							1							
5	4	21/2	21/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	31							1							
5	4	11	11	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	32														
5	4	11	11	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	33		articStaccatoBelow												
5	4	12	12	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	34		articStaccatoBelow												
5	4	11	11	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	35		articStaccatoAbove												
5	4	12	12	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	36		articStaccatoAbove												
6	5	13	13	0.0	0	0	Dynamic	3/4	1	1	0					f													
