mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	crescendo_line	pedal	Pedal_<sym>keyboardPedalPed</sym>
1	0	0	0	0.0	0	5/8	Tempo	3/4	1	1	0								Presto,manontroppo	116.0			1.0					
1	0	0	0	0.0	0	5/8	Tempo	3/4	1	1	0								𝅗𝅥.=76	228.0	𝅗𝅥.	76.0	1.0					
1	0	0	0	0.5	0	5/8	Chord	3/4	1	1	1/8		1/8	1	0													
2	1	1/2	1/2	0.0	0	0	Dynamic	3/4	1	1	0					f												
2	1	1/2	1/2	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	1													
2	1	5/6	5/6	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	2													
2	1	7/6	7/6	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	3													
2	1	3/2	3/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	4									0				
2	1	2	2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	5									0				
2	1	5/2	5/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	6									0				
2	1	3	3	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	7													
2	1	1/2	1/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	8									1				
2	1	3/2	3/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	9		articAccentAbove							1				
2	1	5/2	5/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	10									1				
3	2	7/2	7/2	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	11									2				
3	2	23/6	23/6	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	12									2				
3	2	25/6	25/6	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	13													
3	2	9/2	9/2	0.0	1/4	1/4	Spanner	3/4	1	1	0														0			
3	2	9/2	9/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	14									3	0			
3	2	5	5	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	15									3	0			
3	2	11/2	11/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	16									4	0			
3	2	7/2	7/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	17		articAccentAbove							1				
3	2	9/2	9/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	18									1				
3	2	11/2	11/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	19									1				
4	3	13/2	13/2	0.0	0	0	Dynamic	3/4	1	1	0					fz												
4	3	13/2	13/2	0.0	0	0	Spanner	3/4	1	1	0																	
4	3	13/2	13/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	20													
4	3	29/4	29/4	0.0	3/16	3/16	Dynamic	3/4	1	1	0					p												
4	3	29/4	29/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	21									5				
4	3	15/2	15/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	22									5				
4	3	8	8	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	23									5				
4	3	17/2	17/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	24									5				
4	3	9	9	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	25									5				
4	3	13/2	13/2	0.0	0	0	Spanner	3/4	2	1	0																0	0
4	3	13/2	13/2	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	26												0	0
4	3	15/2	15/2	0.0	1/4	1/4	Spanner	3/4	2	1	0																	
4	3	15/2	15/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	27									6				
4	3	17/2	17/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	28									6				
5	4	19/2	19/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	29									5				
5	4	10	10	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	30									5				
5	4	21/2	21/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	31									5				
5	4	11	11	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	32													
5	4	23/2	23/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	33		articAccentBelow											
5	4	19/2	19/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	34									6				
5	4	21/2	21/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	35									6				
5	4	23/2	23/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	36													
6	5	25/2	25/2	0.0	0	0	Dynamic	3/4	1	1	0					f												
6	5	25/2	25/2	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	37													
6	5	77/6	77/6	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	38													
6	5	79/6	79/6	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	39													
6	5	27/2	27/2	0.0	1/4	1/4	Spanner	3/4	1	1	0														1			
6	5	27/2	27/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	40									7	1			
6	5	14	14	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	41									7	1			
6	5	29/2	29/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	42									7	1			
6	5	15	15	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	43										1			
6	5	25/2	25/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	44													
6	5	27/2	27/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	45		articAccentAbove											
6	5	29/2	29/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	46													
7	6	31/2	31/2	0.0	0	0	Spanner	3/4	1	1	0																	
7	6	31/2	31/2	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	47									8				
7	6	95/6	95/6	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	48									8				
7	6	97/6	97/6	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	49													
7	6	33/2	33/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	50									9				
7	6	17	17	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	51									9				
7	6	35/2	35/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	52									9				
7	6	18	18	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	53													
7	6	31/2	31/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	54		articAccentAbove											
7	6	33/2	33/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	55													
7	6	35/2	35/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	56													
8	7	37/2	37/2	0.0	0	0	Dynamic	3/4	1	1	0					fz												
8	7	37/2	37/2	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	57													
8	7	37/2	37/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	58													
8	7	77/4	77/4	0.0	3/16	3/16	Dynamic	3/4	1	1	0					p												
8	7	77/4	77/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	59									10				
8	7	39/2	39/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	60									10				
8	7	20	20	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	61									10				
8	7	41/2	41/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	62									10				
8	7	21	21	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	63									10				
8	7	37/2	37/2	0.0	0	0	Spanner	3/4	2	1	0																1	1
8	7	37/2	37/2	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	64												1	1
8	7	39/2	39/2	0.0	1/4	1/4	Spanner	3/4	2	1	0																	
8	7	39/2	39/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	65													
8	7	41/2	41/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	66													
9	8	43/2	43/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	67									10				
9	8	22	22	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	68									10				
9	8	45/2	45/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	69									10				
9	8	23	23	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	70									10				
9	8	47/2	47/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	71													
9	8	97/4	97/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	72													
9	8	43/2	43/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	73													
9	8	45/2	45/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	74													
9	8	47/2	47/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	75													
10	9	49/2	49/2	0.0	0	0	StaffText	3/4	1	1	0							scherz.										
10	9	49/2	49/2	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	76									11				
10	9	51/2	51/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	77		articStaccatissimoAbove											
10	9	105/4	105/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	78									12				
10	9	53/2	53/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	79		articAccentAbove											
10	9	49/2	49/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	80									13				
10	9	51/2	51/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	81									13				
10	9	53/2	53/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	82									13				
11	10	55/2	55/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	83													
11	10	28	28	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	84													
11	10	57/2	57/2	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	85													
11	10	57/2	57/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	86									14				
11	10	29	29	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	87													
11	10	59/2	59/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	88		articAccentAbove							15				
11	10	55/2	55/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	89									13				
11	10	57/2	57/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	90									13				
11	10	59/2	59/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	91									13				
12	11	61/2	61/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	92		articStaccatissimoAbove											
12	11	31	31	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	93									16				
12	11	63/2	63/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	94		articStaccatissimoAbove											
12	11	129/4	129/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	95									17				
12	11	65/2	65/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	96		articAccentAbove											
12	11	61/2	61/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	97													
12	11	63/2	63/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	98									18				
12	11	65/2	65/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	99									18				
13	12	67/2	67/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	100													
13	12	34	34	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	101													
13	12	69/2	69/2	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	102													
13	12	69/2	69/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	103		articStaccatissimoAbove											
13	12	141/4	141/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	104									19				
13	12	71/2	71/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	105													
13	12	67/2	67/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	106									18				
13	12	69/2	69/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	107									18				
13	12	71/2	71/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	108													
14	13	73/2	73/2	0.0	0	0	Dynamic	3/4	1	1	0					p												
14	13	73/2	73/2	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	109													
14	13	75/2	75/2	0.75	1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	110		articAccentAbove											
14	13	153/4	153/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	111													
14	13	77/2	77/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	112		articAccentAbove							20				
14	13	73/2	73/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	113									21				
14	13	75/2	75/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	114									21				
14	13	77/2	77/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	115									21				
15	14	79/2	79/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	116													
15	14	161/4	161/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	117									22				
15	14	81/2	81/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	118									22				
15	14	41	41	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	119													
15	14	83/2	83/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	120		articAccentAbove							23				
15	14	79/2	79/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	121									21				
15	14	81/2	81/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	122									21				
15	14	83/2	83/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	123									21				
16	15	85/2	85/2	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	124													
16	15	87/2	87/2	0.75	1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	125		articAccentAbove											
16	15	177/4	177/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	126									24				
16	15	89/2	89/2	0.0	1/2	1/2	Spanner	3/4	1	1	0														2			
16	15	89/2	89/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	127										2			
16	15	85/2	85/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	128													
16	15	87/2	87/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	129		articAccentAbove							25				
16	15	89/2	89/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	130									25				
17	16	91/2	91/2	0.0	0	0	Spanner	3/4	1	1	0																	
17	16	91/2	91/2	0.0	0	0	Spanner	3/4	1	1	0															0		
17	16	91/2	91/2	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	131											0		
17	16	47	47	0.0	3/8	3/8	Spanner	3/4	1	1	0																	
17	16	47	47	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	132													
17	16	95/2	95/2	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	133		articAccentAbove											
17	16	193/4	193/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	134													
17	16	91/2	91/2	0.0	0	0	Spanner	3/4	2	1	0													25	3			
17	16	91/2	91/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	135									25	3			
17	16	93/2	93/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	136										3			
17	16	95/2	95/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	137										3			
18	17	97/2	97/2	0.0	0	0	Dynamic	3/4	1	1	0					f												
18	17	97/2	97/2	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	138													
18	17	293/6	293/6	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	139													
18	17	295/6	295/6	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	140													
18	17	99/2	99/2	0.0	1/4	1/4	Spanner	3/4	1	1	0														4			
18	17	99/2	99/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	141									26	4			
18	17	50	50	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	142									26	4			
18	17	101/2	101/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	143									26	4			
18	17	51	51	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	144										4			
18	17	97/2	97/2	0.0	0	0	Spanner	3/4	2	1	0																	
18	17	97/2	97/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	145													
18	17	99/2	99/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	146		articAccentAbove											
18	17	101/2	101/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	147													
19	18	103/2	103/2	0.0	0	0	Spanner	3/4	1	1	0																	
19	18	103/2	103/2	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	148													
19	18	311/6	311/6	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	149													
19	18	313/6	313/6	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	150													
19	18	105/2	105/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	151									27				
19	18	53	53	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	152													
19	18	107/2	107/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	153		articAccentAbove							28				
19	18	103/2	103/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	154		articAccentAbove											
19	18	105/2	105/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	155													
19	18	107/2	107/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	156													
20	19	109/2	109/2	0.0	0	0	Dynamic	3/4	1	1	0					fz												
20	19	109/2	109/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	157		articStaccatissimoAbove											
20	19	221/4	221/4	0.0	3/16	3/16	Dynamic	3/4	1	1	0					p												
20	19	221/4	221/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	158									29				
20	19	111/2	111/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	159													
20	19	56	56	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	160									30				
20	19	113/2	113/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	161									30				
20	19	57	57	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	162									30				
20	19	109/2	109/2	0.0	0	0	Spanner	3/4	2	1	0																2	2
20	19	109/2	109/2	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	163												2	2
20	19	111/2	111/2	0.0	1/4	1/4	Spanner	3/4	2	1	0																	
20	19	111/2	111/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	164									31				
20	19	113/2	113/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	165									31				
21	20	115/2	115/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	166									30				
21	20	58	58	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	167									30				
21	20	117/2	117/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	168									30				
21	20	59	59	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	169									30				
21	20	119/2	119/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	170													
21	20	115/2	115/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	171									31				
21	20	117/2	117/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	172									31				
21	20	119/2	119/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	173													
22	21	121/2	121/2	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	174													
22	21	365/6	365/6	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	175													
22	21	367/6	367/6	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	176													
22	21	123/2	123/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	177													
22	21	249/4	249/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	178									32				
22	21	125/2	125/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	179									32				
22	21	63	63	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	180													
22	21	121/2	121/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	181									33				
22	21	123/2	123/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	182		articAccentAbove							33				
22	21	125/2	125/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	183									33				
23	22	127/2	127/2	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	184													
23	22	383/6	383/6	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	185													
23	22	385/6	385/6	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	186													
23	22	129/2	129/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	187		articStaccatoAbove											
23	22	261/4	261/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	188									34				
