mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	diminuendo_line	crescendo_line	crescendo_hairpin	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
25	25	147/2	147/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	175							7						
25	25	74	74	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	176							7						
25	25	149/2	149/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	177							7						
25	25	72	72	0.0	0	0	Spanner	3/4	2	1	0																	
25	25	72	72	0.0	0	0	Spanner	3/4	2	1	0																19	19
25	25	72	72	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	178												19	19
25	25	73	73	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	179												19	19
25	25	74	74	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	180												19	19
26	26	75	75	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	181							7						
26	26	226/3	226/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	182							7						
26	26	227/3	227/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	183							7						
26	26	76	76	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	184							7						
26	26	229/3	229/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	185							7						
26	26	230/3	230/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	186							7						
26	26	77	77	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	187							7						
26	26	232/3	232/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	188							7						
26	26	233/3	233/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	189							7						
26	26	75	75	0.0	0	0	Spanner	3/4	2	1	0																	
26	26	75	75	0.0	0	0	Spanner	3/4	2	1	0																20	20
26	26	75	75	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	190												20	20
26	26	76	76	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	191												20	20
26	26	77	77	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	192												20	20
27	27	78	78	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	193							7						
27	27	235/3	235/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	194							7						
27	27	236/3	236/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	195							7						
27	27	79	79	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	196							7						
27	27	238/3	238/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	197							7						
27	27	239/3	239/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	198							7						
27	27	80	80	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	199							7						
27	27	241/3	241/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	200							7						
27	27	242/3	242/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	201							7						
27	27	78	78	0.0	0	0	Spanner	3/4	2	1	0																	
27	27	78	78	0.0	0	0	Spanner	3/4	2	1	0																21	21
27	27	78	78	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	202												21	21
27	27	79	79	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	203												21	21
27	27	80	80	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	204												21	21
28	28	81	81	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	205													
28	28	81	81	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	206													
28	28	81	81	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	207													
28	28	327/4	327/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	208							8						
28	28	82	82	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	209		articStaccatoAbove											
28	28	83	83	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	210							9						
28	28	81	81	0.0	0	0	Spanner	3/4	2	1	0																22	22
28	28	81	81	0.0	0	0	Spanner	3/4	2	1	0																22	22
28	28	81	81	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	211												22	22
28	28	82	82	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	212												22	22
28	28	83	83	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	213												22	22
29	29	84	84	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	214							9						
29	29	171/2	171/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	215							9						
29	29	86	86	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	216							9						
29	29	173/2	173/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	217							9						
29	29	84	84	0.0	0	0	Spanner	3/4	2	1	0																	
29	29	84	84	0.0	0	0	Spanner	3/4	2	1	0																23	23
29	29	84	84	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	218												23	23
29	29	85	85	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	219												23	23
29	29	86	86	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	220												23	23
30	30	87	87	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	221							9						
30	30	262/3	262/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	222							9						
30	30	263/3	263/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	223							9						
30	30	88	88	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	224							9						
30	30	265/3	265/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	225							9						
30	30	266/3	266/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	226							9						
30	30	89	89	0.0	1/2	1/2	Spanner	3/4	1	1	0											9				0		
30	30	89	89	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	227							9				0		
30	30	268/3	268/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	228							9				0		
30	30	269/3	269/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	229							9				0		
30	30	87	87	0.0	0	0	Spanner	3/4	2	1	0																	
30	30	87	87	0.0	0	0	Spanner	3/4	2	1	0																24	24
30	30	87	87	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	230												24	24
30	30	88	88	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	231												24	24
30	30	89	89	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
30	30	89	89	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	232													
31	31	90	90	0.0	0	0	Spanner	3/4	1	1	0											9						
31	31	90	90	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	233							9						
31	31	181/2	181/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	234							9						
