mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	slur	crescendo_hairpin	decrescendo_hairpin
7	7	20	20	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	50				
8	8	21	21	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	51	ornamentShortTrill			
8	8	22	22	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	52				
8	8	45/2	45/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	53				
8	8	23	23	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	54				
8	8	21	21	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	55				
8	8	22	22	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	56				
8	8	23	23	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	57				
9	9	24	24	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	58				
9	9	73/3	73/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	59				
9	9	74/3	74/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	60				
9	9	25	25	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	61				
9	9	26	26	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	62				
9	9	24	24	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	63				
9	9	25	25	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	64				
9	9	26	26	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	65				
10	10	27	27	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	66				
10	10	55/2	55/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	67				
10	10	28	28	0.0		1/4	1/4	Spanner	3/4	1	1	0								2
10	10	28	28	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	68				2
10	10	59/2	59/2	0.0		5/8	5/8	Spanner	3/4	1	1	0								
10	10	59/2	59/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	69				
10	10	27	27	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	70				
10	10	28	28	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	71				
10	10	29	29	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	72				
11	11	30	30	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	73				
11	11	123/4	123/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	74				
11	11	31	31	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	75				
11	11	63/2	63/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	76				
11	11	32	32	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	77				
11	11	65/2	65/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	78				
11	11	30	30	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	79				
11	11	31	31	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	80				
11	11	32	32	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	81				
12	12	33	33	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	82				
12	12	100/3	100/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	83				
12	12	101/3	101/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	84				
12	12	34	34	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	85				
12	12	71/2	71/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	86	ornamentTrill			
12	12	33	33	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	87				
12	12	34	34	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	88				
12	12	35	35	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	89				
13	13	36	36	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	90				
13	13	109/3	109/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	91				
13	13	110/3	110/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	92				
13	13	37	37	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	93				
13	13	38	38	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	94				
13	13	36	36	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	95				
13	13	37	37	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	96				
13	13	38	38	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	97				
14	14	39	39	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	98				
14	14	79/2	79/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	99				
14	14	40	40	0.0		1/4	1/4	Spanner	3/4	1	1	0								3
14	14	40	40	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	100				3
14	14	83/2	83/2	0.0		5/8	5/8	Spanner	3/4	1	1	0								
14	14	83/2	83/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	101				
14	14	39	39	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	102				
