mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	tempo_visible	slur	crescendo_line	crescendo_hairpin	diminuendo_line	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0									Allegronontroppo	144.0	1.0							
1	1	0	0	0.0	0	0	Dynamic	3/4	1	1	0					f													
1	1	0	0	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	0		articAccentBelow												
2	2	3	3	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	1		articAccentBelow												
3	3	6	6	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	2														
3	3	7	7	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	3		articAccentBelow												
4	4	9	9	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	4														
4	4	10	10	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	5		articAccentBelow												
5	5	12	12	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	6								0						
5	5	13	13	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	7								0						
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	8								0						
5	5	14	14	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	9								0						
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	10														
6	6	15	15	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	11		ornamentShortTrill						1						
6	6	16	16	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	12								1						
6	6	33/2	33/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	13								1						
6	6	17	17	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	14								1						
6	6	35/2	35/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	15														
7	7	18	18	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	16								2						
7	7	55/3	55/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	17								2						
7	7	56/3	56/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	18								2						
7	7	19	19	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	19								2						
7	7	39/2	39/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	20								2						
7	7	20	20	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	21								2						
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	22								2						
8	8	21	21	0.0	0	0	Spanner	3/4	1	1	0												2		0				
8	8	21	21	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	23								2		0				
8	8	43/2	43/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	24								2		0				
8	8	22	22	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	25								2		0				
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	26								2		0				
8	8	23	23	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	27								2		0				
8	8	47/2	47/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	28								2		0				
9	9	24	24	0.0	0	0	Dynamic	3/4	1	1	0					f													
9	9	24	24	0.0	0	0	SystemText	3/4	1	1	0								"<font size=""12""/>Risoluto"										
9	9	24	24	0.0	0	0	Spanner	3/4	1	1	0																		
9	9	24	24	0.0	0	0	Spanner	3/4	1	1	0														1				
9	9	24	24	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	29		articStaccatoBelow								1				
9	9	99/4	99/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	30								3		1				
9	9	25	25	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	31								3		1				
9	9	26	26	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	32								3		1				
9	9	24	24	0.0	0	0	Spanner	3/4	2	1	0																	0	0
9	9	24	24	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	33		articStaccatoBelow											0	0
9	9	99/4	99/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	34								4					0	0
9	9	25	25	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	35								4					0	0
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	36													0	0
10	10	27	27	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	37										1				
10	10	111/4	111/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	38								5		1				
10	10	28	28	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	39										1				
10	10	27	27	0.0	0	0	Spanner	3/4	2	1	0																		
10	10	27	27	0.0	0	0	Spanner	3/4	2	1	0																	1	1
10	10	27	27	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	40		articStaccatoBelow											1	1
10	10	111/4	111/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	41								6					1	1
10	10	28	28	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	42								6					1	1
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	43													1	1
11	11	30	30	0.0	0	0	Spanner	3/4	1	1	0																		
11	11	30	30	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	44														
11	11	123/4	123/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	45								7						
11	11	31	31	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	46								7						
11	11	32	32	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	47								7						
11	11	30	30	0.0	0	0	Spanner	3/4	2	1	0																		
11	11	30	30	0.0	0	0	Spanner	3/4	2	1	0																	2	2
11	11	30	30	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	48		articStaccatoBelow											2	2
11	11	123/4	123/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	49								8					2	2
11	11	31	31	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	50								8					2	2
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	51													2	2
12	12	33	33	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	52		articStaccatoBelow												
12	12	135/4	135/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	53								9						
12	12	34	34	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	54		articAccentBelow						9						
12	12	33	33	0.0	0	0	Spanner	3/4	2	1	0																		
12	12	33	33	0.0	0	0	Spanner	3/4	2	1	0																	3	3
12	12	33	33	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	55		articStaccatoBelow											3	3
12	12	135/4	135/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	56								10					3	3
12	12	34	34	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	57								10					3	3
12	12	35	35	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	58													3	3
13	13	36	36	0.0	0	0	Dynamic	3/4	1	1	0					pp													
13	13	36	36	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	59														
13	13	147/4	147/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	60								11						
13	13	37	37	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	61								11						
13	13	38	38	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	62		articStaccatoBelow						11						
13	13	36	36	0.0	0	0	Spanner	3/4	2	1	0																		
13	13	36	36	0.0	0	0	Spanner	3/4	2	1	0																	4	4
13	13	36	36	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	63		articStaccatoBelow											4	4
13	13	147/4	147/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	64								12					4	4
13	13	37	37	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	65								12					4	4
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	66													4	4
14	14	39	39	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	67		articStaccatoBelow												
14	14	159/4	159/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	68								13						
14	14	40	40	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	69														
14	14	39	39	0.0	0	0	Spanner	3/4	2	1	0																		
14	14	39	39	0.0	0	0	Spanner	3/4	2	1	0																	5	5
14	14	39	39	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	70		articStaccatoBelow											5	5
14	14	159/4	159/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	71								14					5	5
14	14	40	40	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	72								14					5	5
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	73													5	5
15	15	42	42	0.0	0	0	Dynamic	3/4	1	1	0					ff													
15	15	42	42	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	74		articStaccatoBelow												
15	15	171/4	171/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	75								15						
15	15	43	43	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	76														
15	15	42	42	0.0	0	0	Spanner	3/4	2	1	0																		
15	15	42	42	0.0	0	0	Spanner	3/4	2	1	0																	6	6
15	15	42	42	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	77		articStaccatoBelow											6	6
15	15	171/4	171/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	78								16					6	6
15	15	43	43	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	79								16					6	6
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	80													6	6
16	16	45	45	0.0	0	0	Dynamic	3/4	1	1	0					pp													
16	16	45	45	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	81		articStaccatoBelow												
16	16	183/4	183/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	82								17						
16	16	46	46	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	83								17						
16	16	45	45	0.0	0	0	Spanner	3/4	2	1	0																		
16	16	45	45	0.0	0	0	Spanner	3/4	2	1	0																	7	7
16	16	45	45	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	84		articStaccatoBelow											7	7
16	16	183/4	183/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	85								18					7	7
16	16	46	46	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	86								18					7	7
16	16	47	47	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	87													7	7
17	17	48	48	0.0	0	0	Dynamic	3/4	1	1	0					f													
17	17	48	48	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	88		articStaccatoBelow												
17	17	195/4	195/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	89								19						
17	17	49	49	0.0	1/4	1/4	Spanner	3/4	1	1	0												19		2				
17	17	49	49	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	90								19		2				
17	17	50	50	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	91								19		2				
17	17	48	48	0.0	0	0	Spanner	3/4	2	1	0																		
17	17	48	48	0.0	0	0	Spanner	3/4	2	1	0																	8	8
