mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	crescendo_hairpin	crescendo_line	diminuendo_line	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
1	0	0	0	0.0	0	1/2	Tempo	3/4	1	1	0									Moderato	114.0	1.0							
1	0	0	0	0.0	0	1/2	StaffText	3/4	1	1	0								mezza voce										
1	0	0	0	1.0	0	1/2	Chord	3/4	1	1	1/4		1/4	1	0			articAccentAbove					0						
2	1	1	1	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	1								0						
2	1	2	2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	2								0						
2	1	5/2	5/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	3								0						
2	1	3	3	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	4								0						
2	1	7/2	7/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	5								0						
3	2	5	5	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	6								0						
3	2	13/2	13/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	7								0						
3	2	4	4	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	8														
3	2	9/2	9/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	9														
3	2	6	6	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	10														
3	2	6	6	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	11			articAccentBelow					1						
4	3	7	7	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	12								0						
4	3	7	7	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	13								1						
4	3	8	8	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	14								1						
4	3	17/2	17/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	15								1						
4	3	9	9	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	16								1						
