mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line	diminuendo_line	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
1	0	0	0	0.0		0	1/2	Tempo	3/4	1	1	0								Moderato	114.0			1.0							
1	0	0	0	0.0		0	1/2	Tempo	3/4	1	1	0								𝅘𝅥=132	132.0	𝅘𝅥	132.0	1.0							
1	0	0	0	0.0		0	1/2	Dynamic	3/4	1	2	0					p														
1	0	0	0	1.0		0	1/2	Chord	3/4	1	2	1/4		1/4	1	0									0						
2	1	1	1	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	1									1						
2	1	3	3	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	2									1						
2	1	1	1	1.5		0	0	Chord	3/4	1	2	3/8		1/4	3/2	3									0						
2	1	5/2	5/2	1.0		3/8	3/8	Chord	3/4	1	2	1/4		1/4	1	4									0						
2	1	7/2	7/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	5									0						
3	2	4	4	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	6									1						
3	2	6	6	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	7									1						
3	2	4	4	1.5		0	0	Chord	3/4	1	2	3/8		1/4	3/2	8									0						
3	2	11/2	11/2	1.0		3/8	3/8	Chord	3/4	1	2	1/4		1/4	1	9									0						
3	2	13/2	13/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	10									0						
4	3	7	7	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	11									1						
4	3	9	9	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	12									1						
4	3	7	7	1.5		0	0	Chord	3/4	1	2	3/8		1/4	3/2	13									0						
4	3	17/2	17/2	1.0		3/8	3/8	Chord	3/4	1	2	1/4		1/4	1	14									0						
4	3	19/2	19/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	15									0						
5	4	10	10	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	16									1						
5	4	12	12	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	17									1						
5	4	10	10	1.5		0	0	Chord	3/4	1	2	3/8		1/4	3/2	18									0						
5	4	23/2	23/2	1.0		3/8	3/8	Chord	3/4	1	2	1/4		1/4	1	19									0						
5	4	25/2	25/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	20									0						
6	5	13	13	0.0		0	0	StaffText	3/4	1	1	0							poco           a             poco       cresc.												
6	5	13	13	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	21		articAccentAbove							2						
6	5	15	15	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	22		articAccentAbove							2						
6	5	13	13	1.5		0	0	Chord	3/4	1	2	3/8		1/4	3/2	23															
6	5	29/2	29/2	1.0		3/8	3/8	Chord	3/4	1	2	1/4		1/4	1	24															
6	5	31/2	31/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	25															
6	5	13	13	0.0		0	0	Spanner	3/4	2	1	0																		0	0
6	5	13	13	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	26														0	0
6	5	14	14	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	27														0	0
6	5	15	15	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	28														0	0
7	6	16	16	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	29															
7	6	16	16	0.75		0	0	Chord	3/4	1	2	3/16		1/8	3/2	30									3						
7	6	67/4	67/4	0.25		3/16	3/16	Chord	3/4	1	2	1/16		1/16	1	31															
7	6	17	17	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	32															
7	6	18	18	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	33		articAccentBelow													
7	6	16	16	0.0		0	0	Spanner	3/4	2	1	0																			
7	6	16	16	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	34															
7	6	17	17	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	35															
7	6	18	18	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	36															
8	7	19	19	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	37															
8	7	21	21	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	38															
8	7	19	19	1.5		0	0	Chord	3/4	1	2	3/8		1/4	3/2	39															
8	7	41/2	41/2	1.0		3/8	3/8	Chord	3/4	1	2	1/4		1/4	1	40															
8	7	43/2	43/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	41															
8	7	19	19	0.0		0	0	Spanner	3/4	2	1	0																		1	1
8	7	19	19	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	42														1	1
8	7	20	20	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	43														1	1
8	7	21	21	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	44														1	1
9	8	22	22	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	45															
9	8	22	22	0.75		0	0	Chord	3/4	1	2	3/16		1/8	3/2	46									4						
9	8	91/4	91/4	0.25		3/16	3/16	Chord	3/4	1	2	1/16		1/16	1	47															
9	8	23	23	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	48															
9	8	24	24	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	49		articAccentBelow													
9	8	22	22	0.0		0	0	Spanner	3/4	2	1	0																			
9	8	22	22	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	50															
9	8	23	23	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	51															
9	8	24	24	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	52															
10	9	25	25	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	53									5						
10	9	27	27	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	54									5						
10	9	25	25	1.5		0	0	Chord	3/4	1	2	3/8		1/4	3/2	55															
10	9	53/2	53/2	1.0		3/8	3/8	Chord	3/4	1	2	1/4		1/4	1	56															
10	9	55/2	55/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	57															
10	9	25	25	0.0		0	0	Spanner	3/4	2	1	0																		2	2
10	9	25	25	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	58														2	2
10	9	26	26	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	59														2	2
10	9	27	27	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	60														2	2
11	10	28	28	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	61															
11	10	28	28	0.75		0	0	Chord	3/4	1	2	3/16		1/8	3/2	62															
11	10	115/4	115/4	0.25		3/16	3/16	Chord	3/4	1	2	1/16		1/16	1	63															
11	10	29	29	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	64															
11	10	30	30	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	65		articAccentBelow													
11	10	28	28	0.0		0	0	Spanner	3/4	2	1	0																			
11	10	28	28	0.0		0	0	Spanner	3/4	2	1	0																		3	3
11	10	29	29	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	66														3	3
11	10	30	30	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	67														3	3
11	10	28	28	3.0		0	0	Chord	3/4	2	2	3/4		1/2	3/2	68									6					3	3
12	11	31	31	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	69															
12	11	33	33	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	70		articAccentBelow													
12	11	31	31	0.0		0	0	Dynamic	3/4	1	2	0					ff														
12	11	31	31	0.75		0	0	Chord	3/4	1	2	3/16		1/8	3/2	71									7						
12	11	127/4	127/4	0.25		3/16	3/16	Chord	3/4	1	2	1/16		1/16	1	72															
12	11	32	32	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	73		articStaccatoBelow													
12	11	31	31	0.0		0	0	Spanner	3/4	2	1	0																			
12	11	31	31	0.0		0	0	Spanner	3/4	2	1	0																		4	4
12	11	31	31	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	74		articStaccatoBelow												4	4
12	11	32	32	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	75														4	4
12	11	33	33	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	76														4	4
13	12	34	34	0.0		0	0	Spanner	3/4	1	1	0																0			
13	12	34	34	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	77									8			0			
13	12	71/2	71/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	78									8			0			
