mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	crescendo_line	decrescendo_hairpin	pedal
1	0	0	0	0.0		0	7/16	Dynamic	3/4	1	1	0					p												
1	0	0	0	0.0		0	7/16	Tempo	3/4	1	1	0								Lento	52.0			1.0					
1	0	0	0	0.0		0	7/16	Tempo	3/4	1	1	0								𝅘𝅥=116	116.0	𝅘𝅥	116.0	1.0					
1	0	0	0	0.25		0	7/16	Chord	3/4	1	1	1/16		1/16	1	0									0				
1	0	1/4	1/4	0.75		1/16	1/2	Chord	3/4	1	1	3/16		1/8	3/2	1									0				
1	0	1	1	0.25		1/4	11/16	Chord	3/4	1	1	1/16		1/16	1	2									0				
2	1	5/4	5/4	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	3									1				
2	1	5/4	5/4	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	4									1				
2	1	2	2	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	5									1, 2				
2	1	9/4	9/4	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	6									1				
2	1	13/4	13/4	0.0		1/2	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	7													
2	1	13/4	13/4	0.0		1/2	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	8													
2	1	13/4	13/4	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	9		ornamentTrill											
2	1	5/4	5/4	0.0		0	0	Spanner	3/4	2	1	0																	0
2	1	5/4	5/4	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	10													0
2	1	9/4	9/4	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	11													0
2	1	13/4	13/4	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	12		articAccentAbove											0
3	2	17/4	17/4	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	13									3				
3	2	5	5	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	14									3				
3	2	21/4	21/4	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	15									3				
3	2	25/4	25/4	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	16									3				
3	2	17/4	17/4	0.0		0	0	Spanner	3/4	2	1	0																	
3	2	17/4	17/4	0.0		0	0	Spanner	3/4	2	1	0																	1
3	2	17/4	17/4	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	17													1
3	2	21/4	21/4	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	18													1
3	2	25/4	25/4	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	19													1
4	3	29/4	29/4	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	20									4				
4	3	8	8	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	21									4				
4	3	33/4	33/4	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	22									4				
4	3	37/4	37/4	0.0		1/2	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	23													
4	3	37/4	37/4	0.0		1/2	1/2	Chord	3/4	1	1	0	grace8after	1/16	1	24													
4	3	37/4	37/4	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	25		ornamentTrill											
4	3	29/4	29/4	0.0		0	0	Spanner	3/4	2	1	0																	
4	3	29/4	29/4	0.0		0	0	Spanner	3/4	2	1	0																	2
4	3	29/4	29/4	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	26													2
4	3	33/4	33/4	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	27													2
4	3	37/4	37/4	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	28													2
5	4	41/4	41/4	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	29		articStaccatissimoBelow							5				
5	4	43/4	43/4	0.0		1/8	1/8	Spanner	3/4	1	1	0													5	0			
5	4	11	11	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	30									5, 6	0			
5	4	45/4	45/4	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	31		articStaccatissimoBelow							5	0			
5	4	12	12	0.25		7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	32									5, 7	0			
5	4	49/4	49/4	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	33		articStaccatissimoBelow							5	0			
5	4	13	13	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	34									8	0			
5	4	41/4	41/4	0.0		0	0	Spanner	3/4	2	1	0																	
5	4	41/4	41/4	0.0		0	0	Spanner	3/4	2	1	0																	3
5	4	41/4	41/4	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	35													3
5	4	45/4	45/4	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	36													3
5	4	49/4	49/4	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	37													3
6	5	53/4	53/4	0.0		0	0	Spanner	3/4	1	1	0																	
6	5	53/4	53/4	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	38		articStaccatissimoAbove							9				
6	5	14	14	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	39									9, 10				
6	5	57/4	57/4	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	40									9				
6	5	61/4	61/4	0.0		1/2	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	41													
6	5	61/4	61/4	0.0		1/2	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	42													
6	5	61/4	61/4	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	43		ornamentTrill											
6	5	53/4	53/4	0.0		0	0	Spanner	3/4	2	1	0																	
6	5	53/4	53/4	0.0		0	0	Spanner	3/4	2	1	0																	4
6	5	53/4	53/4	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	44													4
6	5	57/4	57/4	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	45													4
6	5	61/4	61/4	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	46		articAccentAbove											4
7	6	65/4	65/4	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	47									11				
7	6	17	17	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	48									11				
7	6	69/4	69/4	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	49									11				
7	6	73/4	73/4	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	50									11				
7	6	65/4	65/4	0.0		0	0	Spanner	3/4	2	1	0																	
7	6	65/4	65/4	0.0		0	0	Spanner	3/4	2	1	0																	5
7	6	65/4	65/4	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	51													5
7	6	69/4	69/4	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	52													5
7	6	73/4	73/4	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	53													5
8	7	77/4	77/4	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	54									12				
