mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line	crescendo_hairpin	diminuendo_line	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
1	0	0	0	0.0		0	1/2	Dynamic	3/4	1	1	0					p														
1	0	0	0	0.0		0	1/2	StaffText	3/4	1	1	0							dolce												
1	0	0	0	0.0		0	1/2	Tempo	3/4	1	1	0								Legatoassai	71.0			1.0							
1	0	0	0	0.0		0	1/2	Tempo	3/4	1	1	0								𝅘𝅥=144	144.0	𝅘𝅥	144.0	1.0							
1	0	0	0	1.0		0	1/2	Chord	3/4	1	1	1/4		1/4	1	0		articAccentAbove													
2	1	1	1	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	1									0						
2	1	7/4	7/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	2									0						
2	1	2	2	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	3									0						
2	1	5/2	5/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	4									0						
2	1	3	3	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	5															
2	1	2	2	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	6															
2	1	1	1	1.0		0	0	Chord	3/4	2	2	1/4		1/4	1	7		articAccentBelow							1						
2	1	2	2	1.0		1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	8									1						
2	1	3	3	1.0		1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	9															
3	2	4	4	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	10									2						
3	2	19/4	19/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	11									2						
3	2	5	5	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	12									2						
