mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_line	decrescendo_hairpin	crescendo_hairpin	Ottava:8va
1	1	0	0	0.0	0	0	Dynamic	3/4	1	1	0					p												
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0								Moderato	114.0	1.0							
1	1	0	0	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	0							0						
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	1							0						
1	1	1	1	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	2							0						
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	3							0						
2	2	3	3	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	4							0						
2	2	7/2	7/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	5							0						
2	2	4	4	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	6													
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	7													
3	3	6	6	0.0	0	0	Spanner	3/4	1	1	0																0	
3	3	6	6	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	8							1					0	
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	9							1					0	
3	3	7	7	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	10							1					0	
3	3	8	8	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	11							1					0	
3	3	7	7	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	12													
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	13													
4	4	9	9	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	14							1					0	
4	4	19/2	19/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	15							1					0	
4	4	10	10	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	16												0	
4	4	9	9	0.0	0	0	Spanner	3/4	2	1	0												0	0				
4	4	9	9	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	17								0	0				
4	4	10	10	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	18								0	0				
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	19								0	0				
5	5	12	12	0.0	0	0	Spanner	3/4	1	1	0																	
5	5	12	12	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	20							2						
5	5	25/2	25/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	21							2						
5	5	13	13	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	22							2						
5	5	14	14	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	23							2						
5	5	12	12	0.0	0	0	Spanner	3/4	2	1	0																	
5	5	12	12	0.0	0	0	Spanner	3/4	2	1	0												1	1				
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	24								1	1				
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	25								1	1				
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	26								1	1				
6	6	15	15	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	27							2						
6	6	31/2	31/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	28							2						
6	6	16	16	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	29													
6	6	15	15	0.0	0	0	Spanner	3/4	2	1	0																	
6	6	16	16	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	30													
