mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	system_text	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin
1	0	0	0	0.0	0	1/2	Dynamic	3/4	1	1	0					p						
1	0	0	0	0.0	0	1/2	SystemText	3/4	1	1	0							Semplice				
1	0	0	0	1.0	0	1/2	Chord	3/4	1	1	1/4		1/4	1	0		articAccentBelow		0			
2	1	1	1	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	1				0			
2	1	2	2	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	2				0			
2	1	7/2	7/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	3				0			
2	1	2	2	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	4							
2	1	2	2	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	5		articAccentAbove					
2	1	1	1	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	6							
2	1	3	3	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	7							
3	2	4	4	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	8				0			
3	2	4	4	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	9				0			
3	2	19/4	19/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	10				0			
3	2	5	5	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	11				0			
3	2	13/2	13/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	12				0			
3	2	4	4	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	13							
3	2	5	5	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	14							
3	2	4	4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	15							
3	2	5	5	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	16							
3	2	4	4	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	17							
3	2	6	6	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	18							
4	3	7	7	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	19				0			
4	3	31/4	31/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	20				0			
4	3	8	8	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	21				0			
4	3	19/2	19/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	22				0			
4	3	7	7	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	23							
4	3	8	8	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	24							
4	3	7	7	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	25							
4	3	8	8	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	26							
4	3	7	7	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	27							
4	3	9	9	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	28							
5	4	10	10	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	29				0			
5	4	10	10	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	30				0			
5	4	43/4	43/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	31				0			
5	4	11	11	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	32							
5	4	10	10	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	33							
5	4	11	11	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	34							
5	4	10	10	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	35							
5	4	11	11	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	36							
5	4	10	10	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	37							
5	4	12	12	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	38							
6	5	13	13	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	39				1			
6	5	14	14	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	40				1			
6	5	31/2	31/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	41				1			
6	5	13	13	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	42							
6	5	14	14	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	43							
6	5	14	14	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	44		articAccentAbove					
6	5	13	13	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	45							
6	5	15	15	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	46							
7	6	16	16	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	47				1			
7	6	16	16	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	48				1			
7	6	67/4	67/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	49				1			
7	6	17	17	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	50				1			
7	6	37/2	37/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	51				1			
7	6	16	16	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	52							
7	6	17	17	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	53							
