mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation
1	1	0	0	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	0			
1	1	0	0	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	1			
2	2	3	3	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	2			
2	2	4	4	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	3			
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	4			
2	2	3	3	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	5			
2	2	4	4	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	6			
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	7			
3	3	6	6	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	8			
3	3	6	6	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	9			
4	4	9	9	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	10			
4	4	10	10	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	11			
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	12			
4	4	9	9	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	13			
4	4	10	10	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	14			
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	15			
5	5	14	14	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	16			
5	5	12	12	0.0	0	0	Dynamic	3/4	1	2	0					f	
5	5	12	12	0.75	0	0	Chord	3/4	1	2	3/16	1/8	3/2	17			
5	5	51/4	51/4	0.25	3/16	3/16	Chord	3/4	1	2	1/16	1/16	1	18			
5	5	13	13	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	19			
5	5	14	14	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	20			
5	5	12	12	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	21			
5	5	12	12	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	22			
6	6	15	15	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	23			
6	6	63/4	63/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	24			
6	6	16	16	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	25			
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	26			
6	6	15	15	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	27			
6	6	16	16	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	28			
