mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation
1	0	0	0	1.0	0	1/2	Chord	3/4	2	1	1/4	1/4	1	0			
2	1	5/2	5/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	1			
2	1	3	3	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	2			
2	1	7/2	7/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	3			
2	1	1	1	0.0	0	0	Dynamic	3/4	1	2	0					mf	
2	1	1	1	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	4			
2	1	2	2	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	5			
2	1	5/2	5/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	6			
2	1	3	3	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	7			
2	1	7/2	7/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	8			
3	2	4	4	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	9			
3	2	19/4	19/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	10			
3	2	5	5	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	11			
3	2	6	6	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	12			
3	2	4	4	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	13			
3	2	5	5	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	14			
3	2	6	6	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	15			
3	2	4	4	3.0	0	0	Chord	3/4	1	3	3/4	1/2	3/2	16			
3	2	4	4	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	17			
3	2	19/4	19/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	18			
3	2	5	5	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	19			
3	2	6	6	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	20			
4	3	7	7	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	21			
4	3	31/4	31/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	22			
4	3	8	8	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	23			
4	3	9	9	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	24			
4	3	7	7	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	25			
4	3	8	8	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	26			
4	3	9	9	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	27			
4	3	7	7	3.0	0	0	Chord	3/4	1	3	3/4	1/2	3/2	28			
4	3	7	7	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	29			
4	3	31/4	31/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	30			
4	3	8	8	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	31			
4	3	9	9	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	32			
5	4	10	10	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	33			
5	4	11	11	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	34			
5	4	23/2	23/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	35			
5	4	12	12	0.5	1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	36			
5	4	25/2	25/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	37			
6	5	29/2	29/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	38			
6	5	15	15	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	39			
6	5	31/2	31/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	40			
6	5	13	13	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	41	>		
6	5	14	14	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	42			
6	5	29/2	29/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	43			
6	5	15	15	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	44			
6	5	31/2	31/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	45			
7	6	16	16	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	46			
7	6	67/4	67/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	47			
7	6	17	17	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	48			
7	6	18	18	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	49			
7	6	16	16	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	50			
7	6	17	17	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	51			
7	6	18	18	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	52			
7	6	16	16	3.0	0	0	Chord	3/4	1	3	3/4	1/2	3/2	53			
7	6	16	16	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	54			
7	6	67/4	67/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	55			
7	6	17	17	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	56			
7	6	18	18	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	57			
8	7	19	19	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	58			
8	7	79/4	79/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	59			
8	7	20	20	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	60			
8	7	21	21	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	61			
8	7	19	19	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	62			
8	7	20	20	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	63			
8	7	21	21	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	64			
8	7	19	19	3.0	0	0	Chord	3/4	1	3	3/4	1/2	3/2	65			
8	7	19	19	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	66			
8	7	79/4	79/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	67			
8	7	20	20	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	68			
8	7	21	21	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	69			
9	8	22	22	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	70			
9	8	24	24	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	71			
9	8	22	22	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	72			
9	8	22	22	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	73			
9	8	22	22	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	74			
10	9	25	25	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	75			
10	9	53/2	53/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	76			
10	9	27	27	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	77			
10	9	55/2	55/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	78			
10	9	25	25	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	79			
10	9	26	26	0.5	1/4	1/4	Chord	3/4	2	2	1/8	1/8	1	80			
10	9	53/2	53/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8	1/8	1	81			
10	9	27	27	0.5	1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	82			
10	9	55/2	55/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8	1/8	1	83			
11	10	28	28	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	84			
11	10	115/4	115/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	85			
11	10	29	29	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	86			
11	10	30	30	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	87			
11	10	28	28	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	88			
11	10	29	29	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	89			
11	10	30	30	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	90			
11	10	28	28	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	91			
11	10	28	28	0.75	0	0	Chord	3/4	2	2	3/16	1/8	3/2	92			
11	10	115/4	115/4	0.25	3/16	3/16	Chord	3/4	2	2	1/16	1/16	1	93			
11	10	29	29	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	94			
11	10	30	30	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	95			
12	11	31	31	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	96			
12	11	127/4	127/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	97			
12	11	32	32	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	98			
12	11	33	33	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	99			
12	11	31	31	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	100			
12	11	32	32	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	101			
12	11	33	33	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	102	<		
12	11	31	31	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	103			
12	11	31	31	0.75	0	0	Chord	3/4	2	2	3/16	1/8	3/2	104			
