mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	system_text	slur	crescendo_hairpin	diminuendo_line	pedal	Pedal_<sym>keyboardPedalPed</sym>
1	0	0	0	0.0	0	1/2	Dynamic	3/4	1	1	0					p							
1	0	0	0	0.0	0	1/2	SystemText	3/4	1	1	0							Mesto					
1	0	0	0	1.0	0	1/2	Chord	3/4	1	1	1/4		1/4	1	0		articAccentBelow		0				
2	1	1	1	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	1				0				
2	1	7/4	7/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	2				0				
2	1	2	2	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	3				0				
2	1	3	3	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	4				0				
2	1	3	3	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	5				1				
3	2	4	4	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	6		articAccentAbove						
3	2	6	6	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	7				2				
3	2	13/2	13/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	8				2				
3	2	5	5	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	9								
3	2	5	5	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	10								
3	2	4	4	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	11								
4	3	7	7	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	12				2				
4	3	15/2	15/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	13				2				
4	3	8	8	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	14				2				
4	3	9	9	0.0	1/2	1/2	Chord	3/4	1	1	0	acciaccatura	1/8	1	15				2				
4	3	9	9	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	16				2				
5	4	10	10	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	17				2, 3				
5	4	21/2	21/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	18								
5	4	12	12	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	19								
5	4	11	11	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	20		articAccentAbove		4				
5	4	12	12	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	21								
6	5	13	13	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	22								
6	5	55/4	55/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	23								
6	5	14	14	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	24								
6	5	15	15	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	25								
6	5	13	13	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	26				4				
6	5	14	14	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	27				4				
6	5	15	15	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	28								
6	5	13	13	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	29								
6	5	14	14	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	30				5				
6	5	15	15	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	31								
7	6	16	16	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	32								
7	6	16	16	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	33				6				
7	6	67/4	67/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	34				6				
7	6	17	17	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	35				6				
7	6	18	18	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	36								
7	6	17	17	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	37				7				
7	6	18	18	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	38								
8	7	19	19	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	39				8				
8	7	79/4	79/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	40				8				
8	7	20	20	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	41				8				
8	7	21	21	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	42				8				
8	7	21	21	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	43				9				
9	8	22	22	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	44				8				
9	8	24	24	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	45				8				
9	8	23	23	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	46								
9	8	24	24	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	47								
9	8	23	23	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	48								
9	8	24	24	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	49								
9	8	22	22	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	50								
10	9	25	25	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	51				8				
10	9	103/4	103/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	52				8				
10	9	26	26	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	53				8				
10	9	27	27	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	54								
10	9	26	26	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	55								
10	9	27	27	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	56								
10	9	26	26	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	57				10				
10	9	27	27	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	58								
11	10	28	28	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	59								
11	10	28	28	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	60				11				
11	10	115/4	115/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	61				11				
11	10	29	29	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	62				11				
11	10	30	30	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	63								
11	10	29	29	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	64				12				
11	10	30	30	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	65								
12	11	31	31	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	66								
12	11	31	31	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	67								
12	11	31	31	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	68				13				
12	11	127/4	127/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	69				13				
12	11	32	32	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	70				13				
12	11	33	33	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	71				13				
12	11	33	33	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	72				14				
13	12	34	34	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	73								
13	12	36	36	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	74				15				
13	12	35	35	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	75								
13	12	35	35	1.0	1/4	1/4	Chord	3/4	1	3	1/4		1/4	1	76								
13	12	34	34	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	77				14				
13	12	35	35	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	78				14				
13	12	36	36	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	79								
14	13	37	37	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	80				15				
14	13	151/4	151/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	81				15				
14	13	38	38	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	82				15				
14	13	39	39	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	83		articAccentAbove		15				
14	13	37	37	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	84								
14	13	37	37	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	85								
14	13	151/4	151/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	86								
14	13	38	38	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	87								
14	13	39	39	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	88		articAccentAbove						
14	13	37	37	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	89								
15	14	40	40	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	90				15				
15	14	163/4	163/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	91				15				
15	14	41	41	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	92				15				
15	14	42	42	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	93		articAccentAbove		15				
15	14	40	40	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	94								
15	14	40	40	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	95								
15	14	163/4	163/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	96								
15	14	41	41	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	97								
15	14	42	42	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	98								
15	14	40	40	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	99								
16	15	43	43	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	100				15				
16	15	175/4	175/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	101				15				
16	15	44	44	0.0	1/4	1/4	Spanner	3/4	1	1	0								15	0			
16	15	44	44	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	102				15	0			
16	15	45	45	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	103				15	0			
16	15	43	43	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	104					0			
16	15	44	44	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	105					0			
16	15	43	43	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	106								
16	15	175/4	175/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	107								
16	15	44	44	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	108								
16	15	45	45	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	109								
16	15	43	43	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	110								
16	15	44	44	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	111								
17	16	46	46	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	112				15	0			
