mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_line	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0	0	0	StaffText	3/4	1	1	0								mezza voce									
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0									Allegretto	116.0	1.0						
1	1	0	0	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	0								0					
1	1	1	1	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	1			articAccentBelow					0					
1	1	0	0	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	2													
1	1	1	1	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	3													
1	1	0	0	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	4													
1	1	2	2	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	5													
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	6													
2	2	3	3	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	7								0					
2	2	4	4	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	8			articAccentBelow					0					
2	2	3	3	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	9													
2	2	4	4	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	10													
2	2	3	3	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	11													
2	2	5	5	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	12													
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	13													
3	3	6	6	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	14								0					
3	3	7	7	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	15			articAccentBelow					0					
3	3	6	6	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	16													
3	3	7	7	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	17													
3	3	6	6	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	18													
3	3	8	8	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	19													
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	20													
4	4	9	9	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	21								0					
4	4	10	10	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	22			articAccentBelow					0					
