mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_line	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0	0	0	Dynamic	3/4	1	1	0				f													
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0							𝅗𝅥.=60	180.0	𝅗𝅥.	60.0	1.0						
1	1	0	0	0.0	0	0	StaffText	3/4	1	1	0						semplice											
1	1	0	0	0.0	0	0	Spanner	3/4	2	1	0													0	0			
1	1	0	0	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	0		articStaccatoBelow							0	0	0			
1	1	1	1	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	1		articStaccatoBelow							0	0	0			
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	2		articStaccatoBelow							0	0	0			
2	2	3	3	0.0	0	0	StaffText	3/4	1	1	0						dim.											
2	2	3	3	0.0	0	0	Spanner	3/4	1	1	0																0	
2	2	3	3	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	3		articStaccatoBelow							0	0	0			
2	2	4	4	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	4		articStaccatoBelow							0	0	0			
2	2	5	5	0.0	1/2	1/2	StaffText	3/4	2	1	0						ten.						0	0	0			
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	5		articStaccatoBelow							0	0	0			
3	3	6	6	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	6		articStaccatoBelow							0	0	0			
3	3	7	7	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	7		articStaccatoBelow							0	0	0			
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	8		articStaccatoBelow							0	0	0			
4	4	9	9	0.0	0	0	Spanner	3/4	1	1	0																	
4	4	9	9	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	9		articStaccatoBelow							0	0	0			
4	4	10	10	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	10		articStaccatoBelow							0	0	0			
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	11		articStaccatoBelow								0	0			
5	5	12	12	0.0	0	0	StaffText	3/4	1	1	0						mezza voce											
5	5	12	12	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	12									1					
